;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME90060;The Eastern Question;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90060;The Ottoman Empire has been in slow decline for much of the last century, but never has this been more apparent than in recent years. The Empire's hold on the Balkans is weakening, and this threatens to upset the entire balance of power in Eastern Europe as Russia and other countries will inevitably be drawn into the conflict. Many in the $COUNTRY_ADJ$ government feel that it falls on us to call the powers of Europe together and negotiate a settlement that will restore some semblance of stability to the area.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME90061;Planning for the Congress;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90061;Now that plans for the conference in $CAPITAL$ are underway, $COUNTRY_ADJ$ statesmen are busy trying to determine what our stance on the issue should be. Some feel we should favor keeping the Ottoman Empire strong, in the interest of preventing the Russians from expanding into the Middle East. This could potentially improve our relations with the Ottomans, as well. Others believe stability in the Balkans should be the priority, even though this might come at the expense of the Ottomans and our relationship with them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME90062;$FROMCOUNTRY$ Calls for Congress;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90062;We have received word from the $FROMCOUNTRY_ADJ$ that they intend to hold a congress of European powers in their capital to discuss the ability of $COUNTRY$ to maintain stability in the Balkans. Some feel this is a veiled attempt to carve up our nation, and an insult, but regardless we cannot let the congress go on without our attendance. We shall see what manner of 'negotiation' $FROMCOUNTRY$ intends.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME90063;$FROMCOUNTRY$ Calls for Congress;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90063;We have received word from the $FROMCOUNTRY_ADJ$ that they intend to hold a congress of European powers in their capital to discuss the ability of the Ottomans to maintain stability in the Balkans. Some feel this is a veiled attempt to bolster the shaky Empire's hold over the Middle East and balk Russian 'aggression'. Either way, we cannot let the congress go on without our attendance. We shall see what manner of 'negotiation' $FROMCOUNTRY$ intends.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME90064;$FROMCOUNTRY$ Calls for Congress;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90064;We have received word from the $FROMCOUNTRY_ADJ$ that they intend to hold a congress of European powers in their capital to discuss the ability of the Ottomans to maintain stability in the Balkans. Some feel we should favor keeping the Ottoman Empire strong, in the interest of preventing the Russians from expanding into the Middle East. This could potentially improve our relations with the Ottomans, as well. Others believe stability in the Balkans should be the priority, even though this might come at the expense of the Ottomans and our relationship with them. Still others feel we should not take part in this veiled attempt at dismembering a sovereign nation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME90065;The Congress of $CAPITAL$: Keep the Empire Strong;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90065;The great powers of Europe joined together in $CAPITAL$ to negotiate the future of the Balkans. While there was much contention, ultimately it was decided that the Ottoman Empire needed to be kept strong, and any demands placed on it should not weaken its interests unduly. Few of the attendees were pleased, the Russians in particular, and even though the Congress favored the Ottomans it remains to be seen whether they will bow to European pressure and uphold the Congress's edict.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME90066;The Congress of $CAPITAL$: Stabilize the Balkans;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90066;The great powers of Europe joined together in $CAPITAL$ to negotiate the future of the Balkans, with delegates from the Ottoman Empire also in attendance. While there was much contention, ultimately it was decided that creating stability in the region was best even if it came at the expense of the Empire's power. The Russian delegates were pleased, but Ottoman delegates left in a rage. It remains to be seen whether they will bow before the Congress's demands.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME90067;The Demands of the Congress;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90067;Our delegates have returned from the Congress in $FROMCOUNTRY$ with mixed news: though the consensus reached was that $COUNTRY$ needed to be kept strong, they still placed numerous demands upon us that would see the political map of the Balkans rearranged. If we choose to defy the European edict, we could be facing wars from many fronts.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME90068;The Demands of the Congress;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90068;Our delegates have returned from the Congress in $FROMCOUNTRY$ with disheartening news: despite considerable dissension among those attending, a consesus was reached that creating stability in the Balkans is more important that $COUNTRY_ADJ$ interests and sovereignty. The demands are humiliating, and will see us losing much of the Balkans if we agree. If we defy the Congress, however, we could be facing war from many fronts.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME90069;$FROMCOUNTRY$ Agrees to the Demands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90069;$FROMCOUNTRY$ has sent word to the European powers that it will abide by the decrees of the Congress. This proves to the $COUNTRY_ADJ$ government they are serious about working with the rest of Europe to maintain stability.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME90070;$FROMCOUNTRY$ Agrees to the Demands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90070;$FROMCOUNTRY$ has sent word to the European powers that it will abide by the decrees of the Congress. This proves to the $COUNTRY_ADJ$ government they are serious about working with the rest of Europe to maintain stability, though it is clear they are angered by the results.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME90071;$FROMCOUNTRY$ Defies the Congress;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90071;$FROMCOUNTRY$ has decreed that it will not abide by the demands of the Congress. The Treaty, they say, is so much worthless paper, and they refuse to give up any of their sovereignty.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME90075;The Fate of Egypt;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90075;Egypt has been effectively independent for some time. Now it has become all too apparent, and a threat to the vision of the Ottoman Empire as master of the Orient... something which has been little more than an illusion, but which the Ottomans must either address or have it shattered forever. War will come, and Egypt will either be beaten back into place and made to heel at its master's side or seek its own destiny as a power in its own right. Only time will tell.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME90076;The Oriental Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90076;Egypt has been effectively independent for some time. Now that independence has become all too apparent, and Ottoman mastery over the Orient is threatened. Either we must take steps to rectify the situation, and assert our dominance once and for all, or admit to the world that our power is little more than an illusion. There are those who feel that a peaceful solution is possible, and that the Egyptians might better serve as powerful allies than as implacable enemies, but that would require us to surrender our claim to Egyptian lands as well as be an affront to $COUNTRY_ADJ$ pride.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME90077;Negotiations with the Empire;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90077;While we expected immediate Ottoman reprisal, it seems our former overlords are willing to negotiate. Their proposal is as follows: split the Levant between Egypt and the Ottoman Empire, allow Ottoman influence to remain and they will permit our independence. Of course, while this would retain an alliance with the Empire it seems like many to hardly be true independence at all. Still, it would avoid a great deal of bloodshed.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME90078;Egypt Has Agreed;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90078;Our negotiations have been successful: Egypt has agreed to partition the Levant, and we retain influence within their territory. While this spares us a great deal of bloodshed (and the possibility of an embarassing defeat), it does mean we have lost control over the Christian Holy Land in Palestine-- something that will not go over well with the powers of the world, and with Russia in particular.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME90079;Egypt Has Refused;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90079;Despite our willingness to negotiate, Egypt has refused to accept any Ottoman influence in their territory... and also refuses to give up control over any of the Levant. We have no choice but to take it from them.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME90080;The Egyptian Levant;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90080;The Turks have proven unable to retake the Levant from us, despite all the assistance they have received from the rest of Europe. Even those great powers must now admit that the Levant rightfully belongs to us, and that the 'Sick Man of Europe' has no claim over it.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME90085;The Oriental Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90085;$COUNTRY_ADJ$ diplomats have been watching the crisis develop in the Orient for some time, and now that the Ottomans and Egyptians are at war it has become clear that the Empire's hold over its dominion is crumbling. Should the Egyptians successfully challenge Ottoman rule, it could upset the entire balance of power in the region... something that many feel would threaten $COUNTRY_ADJ$ interests. Still others believe that $COUNTRY$ must remain neutral, despite the cost to our relations with the Empire.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME90086;$FROMCOUNTRY$ Supports the Empire;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90086;We have received word through the $FROMCOUNTRY_ADJ$ embassy pledging their support for the Ottoman Empire in our conflict with the Egyptians. This is heartening news.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME90087;The Fall of Egypt;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90087;Our forces are on the run. It seems the hated Ottomans and their allies have won the day, and we have little choice but to submit to their demands. We can try to hold out and turn the tide, but it is far more likely that Egypt will simply be carved up into pieces by the imperialists if we do.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME90088;The Egyptian Surrender;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90088;The Egyptians have raised the white flag, offering to abide by the Convention of London and return both Crete and the majority of the Levant to our control. Our advisors say that wresting control of the entire country is almost impossible, and that we should take the offer while we can and let the Egyptians go.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME90089;End of the Oriental Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90089;The Egyptians have surrendered to $FROMCOUNTRY$ and agreed to abide by the terms of the London Convention. Stability has been restored to the Orient... for now. All that remains is for us to decide whether to end hostilities with the Egyptians and return any $FROMCOUNTRY_ADJ$ lands that we hold.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME90090;The Oriental Crisis;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90090;$COUNTRY_ADJ$ diplomats have been watching the crisis develop in the Orient for some time, and now that the Ottomans and Egyptians are at war it has become clear that the Empire's hold over its dominion is crumbling. Egyptian diplomats have contacted ours through channels, and suggested that support in its war would be appreciated and rewarded. The Ottomans, they rightfully point out, are after all no friends of $COUNTRY$. Such an act could earn us the enmity of the Empire and its allies, however, and thus feel we must remain neutral in the conflict despite the possible benefit to $COUNTRY_ADJ$ interests.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
EVTNAME90091;$FROMCOUNTRY$ Supports the Egyptians;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90091;We have received word that the $FROMCOUNTRY_ADJ$ have pledged their support for the Egyptians in their conflict with the Ottoman Empire. If something isn't done it could develop into an alliance between Egypt and $FROMCOUNTRY$ that could lead to their intervention in the war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME90092;$FROMCOUNTRY$ Supports the Egyptians;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90092;We have received word that the $FROMCOUNTRY_ADJ$ have pledged their support for the Egyptians in their conflict with the Ottoman Empire. If we do not object now, that support could lead to their intervention in the war. That objection, however, could also be seen as aggression on our part and harm our relations with $FROMCOUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME90093;$FROMCOUNTRY$ Demands Withdrawal;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90093;The $FROMCOUNTRY_ADJ$ have sent a demand through diplomatic channels that we back down from our support of the Egyptians. Doing so will harm the influence we have gained in Egypt, but if we do nothing we risk retaliation from the $FROMCOUNTRY_ADJ$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME90110;The Manifesto de Montecristi;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90110;Jose Martí, a Cuban intellectual and radical who has spent a great deal of time organizing émigrés in the United States, has returned to the colony and declared the Manifesto de Monticristi, an exposition of the purposes and principles of the coming Cuban revolution. It seems the uprising has been in the planning for some time, and if the $COUNTRY_ADJ$ government intends to remain in control of Cuba it could have a battle ahead of it.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME90115;The Maine Incident;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90115;To hell with Spain! Remember the Maine!\n\nA riot by Cuban Spanish loyalists recently broke out in Havana, leading to the destruction of the printing presses of four local newspapers which criticized the Spanish Army. The battleship USS Maine was sent to Havana in response to fears expressed by the American consulate that Americans in Cuba might be endangered. Not long after arriving, the Maine was rocked by an explosion, killing 268 of the crew and sinking the ship in the harbour. American newspapers have leapt on the event, painting pictures of Spanish atrocities which have whipped up the public into a rage. People are calling for war against Spain and intervention in Cuba.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME90120;The Propaganda Movement;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90120;Three Filipino priests have been executed in the Manila, charged with subversion. While the executions are said to have been just, they are now considered martyrs by the Filipino people and have inspired the creation of a literary and organization known as 'the Propaganda Movement'. The organization consists of Filipino émigrés in Spain, primarily liberals and students, who are attempting to increase awareness of the needs of the Phillipines and foster better relations between Spain and its colony.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME90125;The Katipunan;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90125;We have received reports from colonial officers in Manila regarding rumors of a secret organization called the 'Katipunan'. Formed by anti-$COUNTRY_ADJ$ Filipinos, they reportedly seek complete independence for the Phillipines. It's possible that limited home rule might mollify some of these revolutionaries, but nothing short of freedom will satisfy them for long. Tracking them down among sympathetic locals may prove difficult.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTDESC90130;With the recent unrest in Cuba, the prospect of the Spanish government possibly selling the island to the United States has arisen. Should we attempt to pursue negotiations?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME90132;The Spanish Have Refused;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90132;After some negotiation, conducted in secret, the Spanish have finally refused to sell Cuba. More than one member of the government has been angered by this, seeing the island as naturally falling into the American sphere of influence.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME90133;Cuba is Ours;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90133;With no small amount of fanfare, Spain has agreed to the sale of Cuba to the United States.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME90135;The Grito de Lares;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90135;With conditions in our Puerto Rican colony so poor, the notion of independence has begun to spread among the local Caribenos. Reports from the colonial governor state a revolt has begun in the town of Lares, one that may be difficult to put down.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME90140;The Intentona de Yauco;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC90140;We have received reports of an independence movement having been formed in Puerto Rico, with an uprising having been organized in the town of Yauco. While the movement doesn't yet have a great deal of support among local conservatives, many of whom are hoping there is still a chance to achieve independence from $COUNTRY$ through peaceful means, it's possible that their efforts could spread if we don't put a stop to it.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME95026;Liberian Independence;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95026;The Liberian colony was founded as a homeland for freed American slaves by the American Colonization Society. Now that Liberia is considered a financial drain on its resources, the ACS is urging Liberia to proclaim idependence and find its own destiny.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME95076;The January Uprising;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95076;A spontaneous protest by young Poles against conscription into the Russian Army has quickly erupted into a widespread insurrection, supported by high-ranking Polish and Lithuanian officers and politicians. The eyes of all of Europe are upon us, and if we deal with the insurgents too harshly it may hurt our relations with European powers. If we do not, however, the uprising may spread even further.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME95085;The Finnish Question;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95085;With the recent unrest in Finnish lands, the local Finland government has demanded greater autonomy from $COUNTRY_ADJ$ rule. Failure to provide it will only lead to further ethnic unrest.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME95095;Norwegian Independence;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95095;The Norwegian government has formally requested to be granted full independence from $COUNTRY_ADJ$ rule.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME95200;Turkmen Nationalism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95200;A wave of nascent nationalism has begun stirring among the Turkmen peoples under $COUNTRY_ADJ$ rulership. While the notion of a Turkmenian state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME95201;Kazakh Nationalism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95201;A wave of nascent nationalism has begun stirring among the Kazakh peoples under $COUNTRY_ADJ$ rulership. While the notion of a Kazakh state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME95205;Uzbek Nationalism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95205;A wave of nascent nationalism has begun stirring among the Uzbek peoples under $COUNTRY_ADJ$ rulership. While the notion of a single Uzbek state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME95206;Reclaiming Uzbek Lands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95206;The $COUNTRY_ADJ$ people are clamoring for all Uzebeks to be united under our flag.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME95210;Tajik Nationalism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95210;A wave of nascent nationalism has begun stirring among the Tajik peoples under $COUNTRY_ADJ$ rulership. While the notion of a Tajik state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME95215;Kyrgyz Nationalism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95215;A wave of nascent nationalism has begun stirring among the Kyrgyz peoples under $COUNTRY_ADJ$ rulership. While the notion of a modern Kyrgyz state is still a new concept, the possibility exists for it to spread and even lead to full rebellion in time. We must watch this carefully.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME95216;Reclaiming Kyrgyz Lands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95216;The $COUNTRY_ADJ$ people are clamoring for all Kyrgyz to be united under our flag.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME95250;The White Rajah;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95250;Brunei's control over the southern regions has only ever been nominal, and the region has been self-governed under the Sultan of Sarawak. During a recent crisis, an Englishman by the name of James Brooke provided the Sultan invaluable assistance in restoring order, and has been bestowed with the title of governor. This 'White Rajah' is now effectively the ruler, and is seeking alliance with Brunei. We must either recognize the independence of an area we only barely controlled, or seek to assert our authority and perhaps anger the English in the process.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME95251;The Dutch East Indies;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95251;The Dutch East India Company has been slowly spreading its influence within the East Indies, and is urging our government to establish protectorates over the remaining sultanates on the islands. Indeed, they have been stirring up trouble in the region. Many within our government feel that if the Netherlands is to remain a power to be reckoned with, it must expand its colonial holdings.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME95255;Indonesian Unification;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95255;The call has been sent out for the peoples of the East Indies to unify under a common banner, for protection against foreign imperialism and to usher in a new world power to make the Europeans tremble. The people are cheering in the streets of $CAPITAL$ at the welcome news. Will $COUNTRY$ do its part?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME95260;The Disunited States;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95260;With the end of the democratic government of the United States, there is a growing feeling among many Americans that the principles upon which the country were founded no longer apply. Talk of secession is frequent, if quiet," and as unrest begins to grow it's become increasingly more possible that liberal-minded states will attempt to pull out of the Union. If they do, we must be ready.;;;;;;;;;;;;x",,,,,,,,,,,,,,,,,,,
EVTNAME95261;The Sons of Liberty;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95261;A group calling themselves the Sons of Liberty has secretly formed in $PROVINCENAME$, advocating either the overthrow of the totalitarian American regime or the secession of $STATENAME$ from the Union. American law-enforcement is doing its best to hunt down these traitors.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME95262;The Union Reborn!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95262;With the totalitarian regime ended, Americans have taken to the streets to celebrate their regained liberties. Flags of the Sons of Liberty are in evidence everywhere. Let us hope this new era holds, and that the Union has not already been sundered beyond repair.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME95265;Congress of $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95265;A large group of secessionists have gathered in $PROVINCENAME$, among their numbers law-makers and politicians as well as angry liberals and members of the so-called Sons of Liberty. A vote was passed, declaring the United States of America dead and demanding $STATENAME$ secede from the Union.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME95286;Congress of New England;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95286;A large group of secessionists have gathered in $PROVINCENAME$, among their numbers law-makers and politicians as well as angry liberals and members of the so-called Sons of Liberty. A vote was passed, declaring the United States of America dead and demanding the states that form New England be allowed to secede from the Union.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME95310;The New Southern Confederacy;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
"EVTDESC95310;A new champion has arisen in the South, calling upon all Southerners to unite under the Confederate flag. If the North will no longer stand for Liberty", than the South shall rise in its place. A huge crowd of $COUNTRY$ citizens have gathered in $CAPITAL$, calling on the government to heed the call for unity.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME95311;The Free States of America;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
"EVTDESC95311;A new champion has arisen in the Nouth, calling upon all northerners to unite under the Sons of Liberty flag. If the United States will no longer stand for Liberty", than the FSA shall rise in its place. A huge crowd of $COUNTRY$ citizens have gathered in $CAPITAL$, calling on the government to heed the call for unity.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME95315;Join the Canadian Confederation?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95315;With things in $COUNTRY$ so difficult, some citizens have brought up the possibility of joining the Confederation of Canada. It is a land of freedom, and together we will be more powerful than we are separately. Shall we approach their government?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME95316;$FROMCOUNTRY$ Asks to Join Canada;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95316;A delegate from $FROMCOUNTRY$ has quietly approached the Canadian government, asking for the former American state to be admitted to Confederation. While this may seem like a good idea, the Americans may see us as opportunists for accepting.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME95502;The Age of Colonialism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95502;Word has reached $COUNTRY$ of a great meeting of colonial powers in Europe, wherein it was decided that African nations would be divided up amongst them-- as if our people were little more than children's toys discarded and left waiting to be picked up. This has caused a great deal of concern among those of our people with the knowledge to understand what this means. For others it has brought little more than resentment, as well as vows to fight for our independence when the day comes.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME95503;$COUNTRY$ in the Modern Age;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95503;'We have seen the outsiders. They come, with guns and riches we have never seen before. What they also bring is death, and we must always be wary what lies behind their smiles.'\n\n$COUNTRY$ stands on good terms with much of the western world, but our leaders are all too aware how quickly that could change. The Europeans believe we are not civilized, and the tone of our contact with them is slowly changing from friendly interest in trade to a strange paternalism coupled with cultural superiority. For now, $COUNTRY$ survives... but we must watch for the moment when the civilized nations decide our enslavement is the only way we can be 'saved'.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME95504;The $COUNTRY_ADJ$ Jihad;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95504;$COUNTRY_ADJ$ muslims are calling for the Jihad to continue: all Islamic states of the Sahel, united under one flag!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME95508;The Sale of Assab;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95508;A $COUNTRY_ADJ$ shipping company has come into the ownership of the Red Sea port of Assab, sold to them by a local Afar sultan. The port would make for an excellent coaling station, and perhaps even provide a base for $COUNTRY$ to expand our influence in the area. Pushing for more direct control, however, could cause tensions with Assab's owner-- who might feel they have greater right to the port than the sultan.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTDESC95509;The Red Sea port of Assab has been sold to $FROMCOUNTRY$ by the local Afar sultan. They have begun to use the port as a coaling station, and fears within the $COUNTRY_ADJ$ government are that they will use this base to expand their influence within $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME95510;Rebellion in Eritrea;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95510;With the Sudan in chaos, the Ethiopians have taken advantage of the situation to regain control over the Eritrean coastlands. Though we may yet regain control over the Sudan, we should consider whether the Eritreans must be punished for this trespass.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME95512;Zemene Mesafint;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC95512;The 'Age of Princes' is upon us. The rulers of Ethiopia must struggle to unite the land under a single Emperor-- and now it is $COUNTRY$'s time to act.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME96100;The Arab Revolt;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
