#Decision localisation;;;;;;;;;;;;;;
restore_rashids_title;Restore the House of Rasheed to the Arabian throne;Restaurer la dynastie des Al-Rasheed sur le trône d'Arabie;Restore the House of Rasheed to the Arabian throne;;;;;;;;;;;
virgin_islands_desc;The Dual-Monarchy colonized three little islands, commonly known as the Virgin islands as to have safe harbors between Amazonia and Plantagenia. With both colonies lost they have lost their purpose and lie in our sphere of interest.;;;;;;;;;;;;;
create_british_empire_title;Pass the Act of Union;;;;;;;;;;;;;
create_british_empire_desc;Uniting the Kingdoms of England, Wales, Scotland and Ireland is the final step in our campaign of forging the United Kingdom of Great Britain and Ireland. Thanks to our position, we are protected by seas in every direction. Perhaps, if we create something like the Royal Navy, we will be able to maintain naval supremacy and dominate the oceans. Now we can finally sing our new anthem - Rule, Britannia! ;;;;;;;;;;;;;
ENL_recognized_title;English independence;;;;;;;;;;;;;
ENL_recognized_desc;With an independent English government established, the Dual-Monarchy is forced to stop claiming the lands in their possession;;;;;;;;;;;;;
ENL_claim_title;Reclaim England !;;;;;;;;;;;;;
ENL_claim_desc;The existence of an independent English state is a very insult to our Unity ! Let us reclaim what is rightfully ours now that the English aren't able to act on the international stage !;;;;;;;;;;;;;
OCC_recognized_title;Occitan independence;;;;;;;;;;;;;
OCC_recognized_desc;With an independent Occitan government established, the Dual-Monarchy is forced to stop claiming the lands in their possession;;;;;;;;;;;;;
OCC_claim_title;Reclaim Occitania !;;;;;;;;;;;;;
OCC_claim_desc;The existence of an independent Occitan state is a very insult to our Unity ! Let us reclaim what is rightfully ours now that the Occitan aren't able to act on the international stage !;;;;;;;;;;;;;
IRE_recognized_title;Irish independence;;;;;;;;;;;;;
IRE_recognized_desc;With an independent Irish government controlling the Emerald Island the Dual-Monarchy will be forced to stop claiming Eire!;;;;;;;;;;;;;
IRE_claim_title;Reclaim Ireland;;;;;;;;;;;;;
IRE_claim_desc;Ireland was lost but with our power firmly established in the islands we can easily reclaim what was once ours.;;;;;;;;;;;;;
SCO_recognized_title;Scottish independence;;;;;;;;;;;;;
SCO_recognized_desc;With an independent Scottish government controlling both the Highlands and the Lowlands Scandinavia will be forced to stop claiming the home of the Stewarts!;;;;;;;;;;;;;
SCO_claim_title;Reclaim Scotland;;;;;;;;;;;;;
SCO_claim_desc;Scotland was lost but with our power firmly established in the Baltic we can easily reclaim what was once ours.;;;;;;;;;;;;;
end_DUA_ENL_title;The end of the Anglois dream;;;;;;;;;;;;;
end_DUA_ENL_desc;Paris still claims lands in the British islands despite the fact that we control all our lands and have won against them countless times. It is time that the World recognizes the end of the Anglois ambitions !;;;;;;;;;;;;;
English_north_ENL_title;Speak English!;;;;;;;;;;;;;
English_north_ENL_desc;With an English government in control of Northern England we can change the names of the streets and cities to proper English;;;;;;;;;;;;;
English_north_DUA_title;Speak Anglois!;;;;;;;;;;;;;
English_north_DUA_desc;With the Northern provinces brought into the fold we can rename the streets and cities to their proper names!;;;;;;;;;;;;;
English_south_ENL_title;London not LONDRES!;;;;;;;;;;;;;
English_south_ENL_desc;With the whole island controlled by England we can end the Anglois names on the island.;;;;;;;;;;;;;
English_south_DUA_title;Londres not LONDON!;;;;;;;;;;;;;
English_south_DUA_desc;With the southern coast controlled by our government we can rename the streets and cities!;;;;;;;;;;;;;
unite_ethiopia_1_title;Restore the Solomonic Dynasty to the Imperial Throne;Restaurer la dynastie Salomique au trône impérial;Restore the Solomonic Dynasty to the Imperial Throne;;;;;;;;;;;
unite_ethiopia_1_desc;"The Zemene Mesafint  was a period in Ethiopian history when the country was rent by conflicts between the Solomonic loyalist nobles and the usurper - Emperor Tewodros II. Both society and culture stagnated. Religious conflict both within the Ethiopian Orthodox Church and with Ethiopian Muslims were often used as the pretext for the powerful to battle each other.;""Le """"Zemene Mesafint"""" était une période dans l'histoire éthiopienne où le pays était ravagé par les conflits entre les nobles et l'usurpateur Tewodros II. La société et la culture stagnèrent. Les conflits religieux entre orthodoxes ou avec les musulmans servaient souvent de prétextes à des luttes de pouvoir."";The Zemene Mesafint  was a period in Ethiopian history when the country was rent by conflicts between the Solomonic loyalist nobles and the usurper - Emperor Tewodros II. Both society and culture stagnated. Religious conflict both within the Ethiopian Orthodox Church and with Ethiopian Muslims were often used as the pretext for the powerful to battle each other.";;;;;;;;;;;
unite_ethiopia_2_title;End the Rebellion;Mettre fin à la révolution;End the Rebellion;;;;;;;;;;;
unite_ethiopia_2_desc;"The Zemene Mesafint  was a period in Ethiopian history when the country was rent by conflicts between the Solomonic loyalist nobles and the usurper - Emperor Tewodros II. Both society and culture stagnated. Religious conflict both within the Ethiopian Orthodox Church and with Ethiopian Muslims were often used as the pretext for the powerful to battle each other.;""Le """"Zemene Mesafint"""" était une période dans l'histoire éthiopienne où le pays était ravagé par les conflits entre les nobles et l'usurpateur Tewodros II. La société et la culture stagnèrent. Les conflits religieux entre orthodoxes ou avec les musulmans servaient souvent de prétextes à des luttes de pouvoir."";The Zemene Mesafint  was a period in Ethiopian history when the country was rent by conflicts between the Solomonic loyalist nobles and the usurper - Emperor Tewodros II. Both society and culture stagnated. Religious conflict both within the Ethiopian Orthodox Church and with Ethiopian Muslims were often used as the pretext for the powerful to battle each other.";;;;;;;;;;;
unite_ethiopia_3_title;Reclaim the Imperial Throne;Prendre le trône impérial;Reclaim the Imperial Throne;;;;;;;;;;;
unite_ethiopia_3_desc;Oromo branch of the Solomonic dynasty was exiled two hundred years ago. Today, we can restore our rightful rule over these lands!;La branche Oromo de la dynastie salomique fut exilée il y a deux cent ans. Aujourd'hui, nous restaurons notre règne légitime sur l'Ethiopie!;Oromo branch of the Solomonic dynasty was exiled two hundred years ago. Today, we can restore our rightful rule over these lands!;;;;;;;;;;;
unite_ethiopia_4_title;Recreate the Greater Sultanate of Adal;Recréer le Sultan d'Adal;Recreate the Greater Sultanate of Adal;;;;;;;;;;;
unite_ethiopia_4_desc;Ahmad ibn Ibrahim al-Ghazi the Conqueror was an Imam and General of Adal who invaded Ethiopia and defeated several Ethiopian emperors, wreaking much damage on that kingdom. With the help of an army mainly composed of Somalis, Imam Ahmad embarked on a conquest which brought three-quarters of Ethiopia under the power of the Muslim Sultanate of Adal during the Ethiopian-Adal War from 1529-43. But because of foreign white-skinned devils and their diabolic 'firearms', he was defeated and Adal fell with him. Now we stand at the gates of Gonder and he is finally avenged.;Ahmad ibn Ibrahim al-Ghazi le conquérant fut un iman et général d'Adal qui envahit l'Ethiopie et vaincu plusieurs empereurs Éthiopiens. Avec son armée essentiellement somalienne, il conquit les trois-quarts de l'Ethiopie pour le Sultanat d'Adal. Mais vaincu par les armes à feu fournit par ces diaboliques européens, il tomba et Adal s'effondra. Aujourd'hui nos troupes sont aux portes de Gonder et nous tenons sa vengeance!;Ahmad ibn Ibrahim al-Ghazi the Conqueror was an Imam and General of Adal who invaded Ethiopia and defeated several Ethiopian emperors, wreaking much damage on that kingdom. With the help of an army mainly composed of Somalis, Imam Ahmad embarked on a conquest which brought three-quarters of Ethiopia under the power of the Muslim Sultanate of Adal during the Ethiopian-Adal War from 1529-43. But because of foreign white-skinned devils and their diabolic 'firearms', he was defeated and Adal fell with him. Now we stand at the gates of Gonder and he is finally avenged.;;;;;;;;;;;
whistlestop_tour_title;Whistle Stop Tour;;;;;;;;;;;;;
whistlestop_tour_desc;With the advent of railways in our nation, the idea has been suggested that our monarch tour the nation, traveling from city to city by train. Some urge caution, however, for such public appearances could provide assassins with the opportunity to strike in provinces that are simmering with rebellion.;;;;;;;;;;;;;
address_the_nation_title;Address the Nation;;;;;;;;;;;;;
address_the_nation_desc;A speech was made today,although the direct implications are obvious,whether or not it will go down in history shall remain to be seen.;;;;;;;;;;;;;
gesture_of_defiance_title;Gesture of Defiance;;;;;;;;;;;;;
gesture_of_defiance_desc;We are a nation of growing power. It falls upon us to display to the so-called 'civilized' nations of the world that they cannot act with impunity. We will resist aggression in kind.;;;;;;;;;;;;;
exhibition_title;Exhibition (Classicism is abound!);;;;;;;;;;;;;
exhibition_desc;This is a chance to show the nations of the world our great state, as such our status has risen in the eyes of many. May the nation continue to prosper under your care.;;;;;;;;;;;;;
exhibition2_title;Exhibition (The flourish of Romanticism);;;;;;;;;;;;;
exhibition2_desc;As time presses on, so does the need to improve upon the ideals of the country. This new style of exhibition puts us above other countries around us, to show that we are progressing to a greater era of prosperity for our nation. Most countries in the rest of the world are pleased with this change of events.;;;;;;;;;;;;;
exhibition3_title;Exhibition (The Realist movement);;;;;;;;;;;;;
exhibition3_desc;The saying that 'Time waits for noone' holds true for nations as well. New ideas are spreading through your country like wildfire, many wish to hold a exhhibition to show the world these changes. This has improved your nation's image with the other countries.;;;;;;;;;;;;;
exhibition4_title;Exhibition (The beginnings of Impressionism);;;;;;;;;;;;;
exhibition4_desc; New ideas are abound in the nation again, moreover the intellectuals of the nation has convinced us to 'donate' some money towards another exhibition. It was worth it in the end, as nations around flocked to see what our nation has been doing lately.;;;;;;;;;;;;;
exhibition5_title;Exhibition (An impression left by Expressionism);;;;;;;;;;;;;
exhibition5_desc; Into the pockets of our great nations the intellectuals descend into. For another exhibition has been called, and furthermore has shown the nations of the world that we are in the up and coming in terms of cultural development.;;;;;;;;;;;;;
exhibition6_title;Exhibition (The new fad!);;;;;;;;;;;;;
exhibition6_desc;The organizers of this latest exhibition have assured us that it will be about the latest 'fad' that has struck the world. A lot of our nation's people agree with this as well. Well, other nations look at us in a better light, so it was worth it in the end. Right?;;;;;;;;;;;;;
lavish_exhibition_title;Lavish Exhibition;;;;;;;;;;;;;
lavish_exhibition_desc;We shall put on the finest display of our culture the world has ever seen!;;;;;;;;;;;;;
lavish_exhibition2_title;Lavish Exhibition;;;;;;;;;;;;;
lavish_exhibition2_desc;We shall put on the finest display of our culture the world has ever seen!;;;;;;;;;;;;;
lavish_exhibition3_title;Lavish Exhibition;;;;;;;;;;;;;
lavish_exhibition3_desc;We shall put on the finest display of our culture the world has ever seen!;;;;;;;;;;;;;
lavish_exhibition4_title;Lavish Exhibition;;;;;;;;;;;;;
lavish_exhibition4_desc;We shall put on the finest display of our culture the world has ever seen!;;;;;;;;;;;;;
lavish_exhibition5_title;Lavish Exhibition;;;;;;;;;;;;;
lavish_exhibition5_desc;We shall put on the finest display of our culture the world has ever seen!;;;;;;;;;;;;;
lavish_exhibition6_title;Lavish Exhibition;;;;;;;;;;;;;
lavish_exhibition6_desc;We shall put on the finest display of our culture the world has ever seen!;;;;;;;;;;;;;
the_open_door_title;The Open Door;;;;;;;;;;;;;
the_open_door_desc;The 'Open Door' immigration policy meant that racial and cultural barriers to immigration were lifted, and began a wave of immigration in the New World that was previously unprecedented.;;;;;;;;;;;;;
five_year_plan_title;Five Year Plan;;;;;;;;;;;;;
five_year_plan_desc;The proletariat state must guide the nation forward, using a plan that takes into account all our needs and does not rely on bourgeois greed.;;;;;;;;;;;;;
purge_the_traitors_title;Purge the Traitors!;;;;;;;;;;;;;
purge_the_traitors_desc;The proletarian state has many enemies, ones that do not see the larger plan and how it benefits us all. We must locate them and keep them from harming our nation.;;;;;;;;;;;;;
conference1_title;National Conference;;;;;;;;;;;;;
conference1_desc;A grand display of our nation's scientific prowess. Let us bring the intelligentsia together in the capital, so that great minds may share ideas and advance our country's interests.;;;;;;;;;;;;;
conference2_title;National Conference;;;;;;;;;;;;;
conference2_desc;A grand display of our nation's scientific prowess. Let us bring the intelligentsia together in the capital, so that great minds may share ideas and advance our country's interests.;;;;;;;;;;;;;
conference3_title;National Conference;;;;;;;;;;;;;
conference3_desc;A grand display of our nation's scientific prowess. Let us bring the intelligentsia together in the capital, so that great minds may share ideas and advance our country's interests.;;;;;;;;;;;;;
conference4_title;National Conference;;;;;;;;;;;;;
conference4_desc;A grand display of our nation's scientific prowess. Let us bring the intelligentsia together in the capital, so that great minds may share ideas and advance our country's interests.;;;;;;;;;;;;;
conference5_title;National Conference;;;;;;;;;;;;;
conference5_desc;A grand display of our nation's scientific prowess. Let us bring the intelligentsia together in the capital, so that great minds may share ideas and advance our country's interests.;;;;;;;;;;;;;
conference6_title;National Conference;;;;;;;;;;;;;
conference6_desc;A grand display of our nation's scientific prowess. Let us bring the intelligentsia together in the capital, so that great minds may share ideas and advance our country's interests.;;;;;;;;;;;;;
military_parade_title;Military Parade;;;;;;;;;;;;;
military_parade_desc;Let us display our nation's armed forces in the streets. We are a power to be reckoned with, and all the world will know it!;;;;;;;;;;;;;
citizenship_tests_title;Citizenship Tests;;;;;;;;;;;;;
citizenship_tests_desc;Those many immigrants that make their way to our lands will prove that they know what it means to be free.;;;;;;;;;;;;;
passports_title;Passports;;;;;;;;;;;;;
passports_desc;The demand on our government's immigration system has been immense. We must come up with new ways to ensure that the rights of our new citizens are protected and recognized by the world.;;;;;;;;;;;;;
conduct_census_title;Conduct Census;;;;;;;;;;;;;
conduct_census_desc;The make-up of our country's population has changed so much and so rapidly that it is clear an effort must be undertaken to catalogue our population. Let us discover who is who in our nation.;;;;;;;;;;;;;
the_rights_of_man_title;The Rights of Man;;;;;;;;;;;;;
the_rights_of_man_desc;A recognition has begun among our people of the basic fundamental rights that all humanity shares. This is the first step in becoming a truly modern civilization.;;;;;;;;;;;;;
political_ideology_title;The New Ideology;;;;;;;;;;;;;
political_ideology_desc;New ideas have come to our nation, and with them come new doctrines and principles that will change the foundations of how our people live.;;;;;;;;;;;;;
of_state_n_government_title;Of State and Government;;;;;;;;;;;;;
of_state_n_government_desc;Our state is changing, evolving from a simple government of bureaucrats and despots to a true organism of the state. We march into a modern era, one where new ideas will tranform the way we live.;;;;;;;;;;;;;
dreams_of_empire_title;Dreams of Empire;;;;;;;;;;;;;
dreams_of_empire_desc;We dream not only of an empire to span the world, but also of a cultural empire. Our people stand as civilized beings, and it is our imperative to bestow the gift of our knowledge upon others. Let the world know of our desires, for we shall find a place of prominence within it.;;;;;;;;;;;;;
the_means_of_production_title;The Means of Production;;;;;;;;;;;;;
the_means_of_production_desc;We have the means at our hands to be a nation of power and significance. We must exert that power responsibly, for now we are a true citizen of the world.;;;;;;;;;;;;;
the_flaws_of_democracy_title;The Flaws of Democracy;;;;;;;;;;;;;
the_flaws_of_democracy_desc;The world is changing rapidly, and bringing with it dangerous new doctines that threaten democratic principle. Whether our nation stands with those who desire freedom, or seeks a different path will be ours to decide and ours alone.;;;;;;;;;;;;;
change_national_value_on_title;Change National Value (Active);;;;;;;;;;;;;
change_national_value_on_desc;Turn on the function to change the National Value.;;;;;;;;;;;;;
change_national_value_off_title;Change National Value (Inactive);;;;;;;;;;;;;
change_national_value_off_desc;Turn off the function to change the National Value.;;;;;;;;;;;;;
leave_soi_title;We Will Stand on our Own;;;;;;;;;;;;;
leave_soi_desc;Too long have we bent knee to unwanted foreigners. We must prove to them that our nation is a power to be reckoned with, and reject their influence within our nation.;;;;;;;;;;;;;
remove_leader_title;Remove the First Minister;;;;;;;;;;;;;
remove_leader_desc;Our beloved monarch does not fancy the current First Minister. Give him the sack and find another!;;;;;;;;;;;;;
land_of_opportunity_title;Land of Opportunity;;;;;;;;;;;;;
land_of_opportunity_desc;We are the Land of the Free and the Home of the Brave, a bastion of democracy in the world and a haven for its poor and dispossessed.;;;;;;;;;;;;;
secret_police_title;Create the Secret Police;;;;;;;;;;;;;
secret_police_desc;Sometimes, to maintain order in our nation, the police must be given powers that trascend civil liberties.;;;;;;;;;;;;;
force_vassal_freedom_title;We Shall Be Free;;;;;;;;;;;;;
force_vassal_freedom_desc;A chance is upon us. Do we approach the great power who has so much influence in $COUNTRY$, and ask them to intervene in our affairs? If we do, we stand a chance of freeing ourselves from foreign rule. We also stand to lose a great deal, as do they. We must proceed cautiously.;;;;;;;;;;;;;
vassal_rebellion_title;Demand Independence;;;;;;;;;;;;;
vassal_rebellion_desc;We have attempted diplomatic efforts to achieve our freedom, and been refused. Now our only hope is to demand our independence on threat of all-out war.;;;;;;;;;;;;;
form_greece_title;Renew Greece;La renaissance grecque;Renew Greece;;;;;;;;;;;
form_greece_desc;Greece was shattered and subdued many times and without us it would stay under the yoke of foreigners forever. But we have given independence to all Greeks! Let's celebrate this glorious moment!;La Grèce fut brisée et conquise de nombreuses fois, et sans nous elle resterait sous le joug d'étrangers. Mais nous avons changé tout ça! Célébrons ce moment glorieux!;Greece was shattered and subdued many times and without us it would stay under the yoke of foreigners forever. But we have given independence to all Greeks! Let's celebrate this glorious moment!;;;;;;;;;;;
form_nusantara_title;Form Nusantara;;;;;;;;;;;;;
form_nusantara_desc;Since the collapse of the great Majapahit empire our lands have fragmented into dozens of feuding nations. It is finally time that we unite our scattered, fragmented people into one great whole. Our great empire will even make the legendary Majapahit emperor Hayam Wuruk tremble in awe!;;;;;;;;;;;;;
claim_greater_nusantara_title;Spread the Name of Nusantara;;;;;;;;;;;;;
claim_greater_nusantara_desc;Our great empire continues to expand. We have absorbed all of our brothers from Taiwan to Papua. It is time we reclaim our ancestor's far flung colonies. The distant outposts of Polynesia, and Madagascar lie across the great Pacific and Indian oceans. Our glory will be unmatched in history if these lands are brought under our benevolent rule once again!;;;;;;;;;;;;;
greater_nusantara_acquired_title;Nusantara Ascendant!;;;;;;;;;;;;;
greater_nusantara_acquired_desc;Our people have expanded farther than anyone could have believed. Our holdings spread half way around the world, and our factories are the envy of the all peoples. We have reached height undreamed of by our ancestors when they first set out to colonize these far-flung lands. Truly our empire is unmatched. Truly we are ascendant!;;;;;;;;;;;;;
unite_principalities_title;Unite the Principalities;;;;;;;;;;;;;
unite_principalities_desc;Our nation was placed between the rock and the hard place for centuries. Let's shake off these bad memories and form the nation of Romanians, the master of the Black Sea and the heir of the Dacians.;;;;;;;;;;;;;
create_romania_title;Create Romania;;;;;;;;;;;;;
create_romania_desc;A united and free Romania will make a formidable and valuable ally.;;;;;;;;;;;;;
unite_with_romania_title;Unite with Romania;;;;;;;;;;;;;
unite_with_romania_desc;Now that Romania has been formed, the time has come for us to join the motherland.;;;;;;;;;;;;;
form_yugoslavia_title;Form Yugoslavia;;;;;;;;;;;;;
form_yugoslavia_desc;The Slavic peoples of the Balkans must be united under a single banner: ours. It is the only way to keep us free of rule from European powers.;;;;;;;;;;;;;
claim_albania_title;Claim Albania;Réclamer l'Albanie;Claim Albania;;;;;;;;;;;
claim_albania_desc;After the weakening of the Byzantine Empire and the Bulgarian Empire in the middle and late 13th century, most of the Albanian territory became part of the Serbian state. Firstly, as part of Rashka and later as part of Serbian Empire. The southern part was governed by the semi-independent, Serbian ruled Despotate of Epiros. Along with the Serbian ruled Albania, there was also an Albanian state, the Principality of Arbër, and later the Kingdom of Albania. Thanks to these undisputed historical facts, we can claim Albania as a part of the Greater South Slavic Empire.;Après l'affaiblissement des empires byzantins et bulgares à la fin du 13° siècle, la majorité des territoires albanais furent intégrer à l'état serbe. Nous pouvons donc réclamer ces territoires comme partis intégrales de notre empire des slaves du sud!;After the weakening of the Byzantine Empire and the Bulgarian Empire in the middle and late 13th century, most of the Albanian territory became part of the Serbian state. Firstly, as part of Rashka and later as part of Serbian Empire. The southern part was governed by the semi-independent, Serbian ruled Despotate of Epiros. Along with the Serbian ruled Albania, there was also an Albanian state, the Principality of Arbër, and later the Kingdom of Albania. Thanks to these undisputed historical facts, we can claim Albania as a part of the Greater South Slavic Empire.;;;;;;;;;;;
claim_bulgaria_title;Claim Bulgaria;Réclamer la Bulgarie;Claim Bulgaria;;;;;;;;;;;
claim_bulgaria_desc;The Bulgarians are South Slavs too! What would the United Yugoslavia be without even uniting all Yugoslavian countries and lands! Let them join our rising empire and be free.;Les Bulgares sont des slaves du sud également! La Yougoslavie ne saurait être complète sans les intégrer. Ils rejoindrons notre empire et seront libres.;The Bulgarians are South Slavs too! What would the United Yugoslavia be without even uniting all Yugoslavian countries and lands! Let them join our rising empire and be free.;;;;;;;;;;;
claim_greeks_title;Reclaim the Territories of the Serbian Empire;Réclamer les territoires de l'empire serbe;Reclaim the Territories of the Serbian Empire;;;;;;;;;;;
claim_greeks_desc;The Tsardom of Serbia was a medieval empire in the Balkans that emerged from the medieval Serbian Kingdom in the 14th century and existed from 1346 to 1371. Stefan of Serbia became Emperor of Serbs and Greeks and ruled everything from Thessaloniki to Novi Sad. The empire died with the creator but its legacy lives on...;L'ancien Empire Serbe au 14° siècle réunissait les serbes et les grecques de Thessalonique à Novi Sad sous le Tsar Stefan de Serbie. L'empire ne lui a pas survécu, mais son héritage persiste…;The Tsardom of Serbia was a medieval empire in the Balkans that emerged from the medieval Serbian Kingdom in the 14th century and existed from 1346 to 1371. Stefan of Serbia became Emperor of Serbs and Greeks and ruled everything from Thessaloniki to Novi Sad. The empire died with the creator but its legacy lives on...;;;;;;;;;;;
integrate_serbia_title;The Serbo-Croat Union;;;;;;;;;;;;;
integrate_serbia_desc;Serbia has entered a state of personal Union since we liberated them with our King ruling also over the Serbs. Now it is time to integrate them into our state directly to unify the South Slavic populations !;;;;;;;;;;;;;
create_yugoslavia_title;Create Yugoslavia;;;;;;;;;;;;;
create_yugoslavia_desc;If the Slavic peoples of the Balkans are united under a single flag, they will be a far more useful ally then as separate and constantly warring states.;;;;;;;;;;;;;
bridge_over_salzach_title;Bridge over Salzach;;;;;;;;;;;;;
bridge_over_salzach_desc;In $YEAR$ the ambassadors of the King of the Dual Thrones of England and France and of the Most Catholic King and Emperor of Bohemia and the Holy Roman Empire met in Salzburg. They decided to discuss a possible pact between these two European Empires. As a symbol of this meeting, the Salzburgers built a bridge over Salzach, representing their friendship. ;;;;;;;;;;;;;
partition_of_venice_title;Partition of Venice;;;;;;;;;;;;;
partition_of_venice_desc;The fate of the Republic of Venice was decided long time ago in Salzburg. Now we only have to fulfill the treaty.;;;;;;;;;;;;;
meddle_in_italy_title;Announce our interest in Italia;;;;;;;;;;;;;
meddle_in_italy_desc;With the final defeat of the House of Valois, we have gained enough  space to influence Italy.;;;;;;;;;;;;;
the_question_of_italy_title;The Question of Italy;;;;;;;;;;;;;
the_question_of_italy_desc;La Serenissima was defeated by the Imperial Forces. According to the Treaty of Salzach we should allow Austria to gain full control of the Republican territories. So, what should we do?;;;;;;;;;;;;;
anschluss_DUA_title;The End of the Dual Monarchy;;;;;;;;;;;;;
anschluss_DUA_desc;With all remaining Plantagenet core lands under the control of the revolution we can finally restore the land the Dual Monarchy occupied for so long to its rightful owners.\nTo freedom!;;;;;;;;;;;;;
annex_OCC_title;The Annexation of Occitania;;;;;;;;;;;;;
annex_OCC_desc;Occitania has always been closely associated with Northern France and the union of the two Republics can only be a benefit for the Revolution !;;;;;;;;;;;;;
claim_OCC_title;Claiming Occitania;;;;;;;;;;;;;
claim_OCC_desc;With our control over Toulouse, we are clearly the masters of the Midi !;;;;;;;;;;;;;
savoy_cores_OCC_title;The Alpes question;;;;;;;;;;;;;
savoy_cores_OCC_desc;The Alpine passes are heavily disputed between Italian and Provencal populations. With our state in control of these we can erase the pretentions of the Italians over these territories;;;;;;;;;;;;;
savoy_cores_ITA_title;The Alpine passes;;;;;;;;;;;;;
savoy_cores_ITA_desc;Now that Italy is unified, the question of the Alpine passes is resolved !;;;;;;;;;;;;;
integrating_provencal_title;Integration of the Provencaux;;;;;;;;;;;;;
integrating_provencal_desc;Occitania is the part of our continental possessions that has always been the most difficult to control. But now we have eradicated the Valois threat and make efforts to integrate the minorities in our lands, we can make our rule accepted by the Provencaux !;;;;;;;;;;;;;
integrating_irish_title;The Kingdom of Ireland;;;;;;;;;;;;;
integrating_irish_desc;Our rule in Ireland has been quite complicated since the final submission of the Irish lords during the Nine Years War (1598-1607). The King of the Dual-Monarchy is the Lord of Ireland but Irish mostly reject this title. With our policy of accepting minorities, we could crown the King in Ireland making them an integral part of our state !;;;;;;;;;;;;;
integrate_scotland_title;The Conquest of Scotland;;;;;;;;;;;;;
integrate_scotland_desc;With our focus on the British islands, we should take advantage of the Scandinavian weakness by forcefully conquering the last lands in the British islands that do not belong to us !;;;;;;;;;;;;;
integrating_scottish_title;Integrating Scotland;;;;;;;;;;;;;
integrating_scottish_desc;The Conquest of Scotland is recent and we have a hard time proving to the locals that we are their rightful brethren. But with our dominance in Europe and the Anglois dream pushing in the Lowlands and Highlands it might be possible to eventually settle the situation in Scotland.;;;;;;;;;;;;;
integrating_basque_title;Integration of the Basques;;;;;;;;;;;;;
integrating_basque_desc;With the Dual-Monarchy ending up winner in the Navarran Succession War we can collaborate with the Basque people and make them an integral part of the realm.;;;;;;;;;;;;;
anglois_language_schooling_title;Anglois education;;;;;;;;;;;;;
anglois_language_schooling_desc;Education is becoming a rather central subject in Anglois politics. All politics except the most conservative are in favor of standardizing education, making it free and open to all children, to make them future responsible citizens. The main problem of this law is that the question of languages has not been settled yet.;;;;;;;;;;;;;
goa_treaty_title;Treaty with Spain;Treaty with Spain;Treaty with Spain;;;;;;;;;;;
goa_treaty_desc;With the growth of our power we no longer need the contact with the colonial ports of the European Great Powers. Perhaps we could ask them to relinguish their claims on that territory?;With the growth of our power we no longer need the contact with the colonial ports of the European Great Powers. Perhaps we could ask them to relinguish their claims on that territory?;With the growth of our power we no longer need the contact with the colonial ports of the European Great Powers. Perhaps we could ask them to relinguish their claims on that territory?;;;;;;;;;;;
masulipatnam_treaty_title;Treaty with Burgundy;Treaty with Burgundy;Treaty with Burgundy;;;;;;;;;;;
masulipatnam_treaty_desc;With the growth of our power we no longer need the contact with the colonial ports of the European Great Powers. Perhaps we could ask them to relinguish their claims on that territory?;With the growth of our power we no longer need the contact with the colonial ports of the European Great Powers. Perhaps we could ask them to relinguish their claims on that territory?;With the growth of our power we no longer need the contact with the colonial ports of the European Great Powers. Perhaps we could ask them to relinguish their claims on that territory?;;;;;;;;;;;
treaty_of_Corfu_title; Treaty of Corfu;;;;;;;;;;;;;
treaty_of_Corfu_desc;The Doge has been unable to take back the mainland. The war which erupted a while ago is drawing on its end and we are winning ! Aragon and Bohemia have offered to mediate in our advantage the signature of a treaty which will push Venice out of Hellas.;;;;;;;;;;;;;
claim_thrace_title;Claim the City;Constantinople;Claim the City;;;;;;;;;;;
claim_thrace_desc;We finally completed the conquest of classic Greece but we should push farther - to the City of Cities itself. Constantinopolis is the ultimate reward for the mighty Greece! But first we will have to isolate the vile Turks to force them to leave Europe once and forever...;Nous avons reconquis la Grèce classique mais nous devrions aller plus loin - jusqu'à Constantinople elle-même, l'ultime récompense pour la puissance Grèce! Mais il nous faudra d'abord pousser les turques à quitter l'Europe…;We finally completed the conquest of classic Greece but we should push farther - to the City of Cities itself. Constantinopolis is the ultimate reward for the mighty Greece! But first we will have to isolate the vile Turks to force them to leave Europe once and forever...;;;;;;;;;;;
megali_idea_title;Megali Idea;L'idée mégali;Megali Idea;;;;;;;;;;;
megali_idea_desc;The 'Megali Idea', the Great Idea, is the conception of a Greater Greek state encompassing all ethnic Greeks, including in particular the substantial Greek minorities living on the Western Coast of Asia Minor. We are today finally in a position to pursue it!;"L'""""""""idée mégali"""""""""","" la """"""""grande idée"""""""""", est le concept d'un état grec incluant tous les grecs,"" notamment les minorités des côtes ouest d'Asie mineure. Nous pouvons enfin la poursuivre!""""";"The 'Megali Idea'"", the Great Idea, is the conception of a Greater Greek state encompassing all ethnic Greeks, including in particular the substantial Greek minorities living on the Western Coast of Asia Minor. We are today finally in a position to pursue it!";;;;;;;;;;;
end_of_exarchate_title;End of the Exarchate Regime;;;;;;;;;;;;;
end_of_exarchate_desc;Since the council of Athens, many things have changed. We are now a democratic regime and we have created ties with our Greek puppet over the years. It is now the time to fully integrate them into our republic !;;;;;;;;;;;;;
greek_integration_title;Greek Integration;;;;;;;;;;;;;
greek_integration_desc;Since the repression of the independence movements, our Republic has seen many changes. Our government is now more democratic and the Greek have accepted our rule. It is now time to fully integrate them into our republic !;;;;;;;;;;;;;
university_of_athens_title;The University of Athens;;;;;;;;;;;;;
