;;;;;;;;;;;;;;x                                          
LOTNANfriendshipevent2opt2;Try talking to their ambassador, but there's no need for a fuss over this.;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
LOTNANfriendshipevent2opt3;In fact, we rather let them cool down a bit.;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
LOTNANfriendshipevent2opt4;This non-sense has gone too far.;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
LOTNANfriendshipevent3name;Our nations are growing apart.;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
LOTNANfriendshipevent3desc;For too long, our nations have grown apart from our friendship. Now it is time we accept the divide between us is too big to heal.;;;;;;;;;;;;;;x
LOTNANfriendshipevent3opt1;Just like my ex-girlfriend.;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
LOTNANfriendshipevent4name;Our nations are growing apart.;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
LOTNANfriendshipevent4desc;For too long, our nations have grown apart from our friendship. Now it is time we accept the divide between us is too big to heal.;;;;;;;;;;;;;;x
LOTNANfriendshipevent4opt1;Just like my ex-wife.;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
kingstatueevent1name;Edward IV's Statue vandalized!;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
kingstatueevent1desc;Rebels in control of Fort Lothere have vandalized the monument to King Edward IV.;;;;;;;;;;;;;;x
kingstatueevent1opt1;Damn peasa- I mean, citizens.;;;;;;;;;;;;;;x
accept_caribenos_title;Integration of the Caribenos;;;;;;;;;;;;;;x
accept_caribenos_desc;With Habana in our hands, it is time to integrate our fellow brothers into the Federation ;;;;;;;;;;;;;;x
conquest_of_the_desertNAN_title;Conquest of the Desert;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
conquest_of_the_desertNAN_desc;The Beornians have always tried to expand into the Mapuche lands. But their harsh resistance led to a treaty that delimited the border around the river Graham. But now the Beornians have the advantage on the Mapuche tribes and it is needed to secure these lands before the Incans do the same. ;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
occupation_of_araucaniaINC_title;Occupation of Araucania;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
occupation_of_araucaniaINC_desc;A proposal has been brought forth to finally push into the southern lands of Araucania and pacify them once and for all. The Mapuche have refused for centuries to accept our rule and it is our duty to spread the glory of the Inca in the Southern Andes;;;;;;;;;;;;;x
Ameriga1.T; Occupation of the Southern Andes;;;;;;;;;;;;;x 
Ameriga1.D; Incan forces have occupied more of the lands in the southern continent. The pacification of the local natives is ongoing.
Ameriga2.T; Conquest of the Desert;;;;;;;;;;;;x
Ameriga2.D; Beornian forces have occupied more of the lands in the southern continent. The pacification of the local natives is ongoing.;;;;;;;;;;;;x
Ameriga3.T; Exploration of the Amazonas ;;;;;;;;;;;;x
Ameriga3.D;Our forces have occupied more of the lands in the Amazonas. The pacification of the local natives is ongoing.;;;;;;;;;;;;x
Ameriga4.T; Amazonian Destiny ;;;;;;;;;;;;x
Ameriga4.D;The partisans of Amazonian expansionnism are divided into three camps. First are those who only want to annex the border states near la Cote du Café. But some are also wanting to take all lands where Guarani people inhabit and integrate them into our society to balance the power of the Lotharians in the area. And eventually a fringe minority calls for the complete annexation of Lotharingia to form a greater Amerigan Federation. But should we declare such an ambition, the greater powers would surely act against us ....;;;;;;;;;;;;x
Ameriga5.T; The Congress of Nouvelle-Amsterdam ;;;;;;;;;;;;x
Ameriga5.D; We have assembled the representatives of the newly acquired states of the Federation to discuss their integration into our state. What will they decide ? ;;;;;;;;;;;;x
Ameriga6.T; The Congress of Nouvelle-Amsterdam;;;;;;;;;;;;x 
Ameriga6.D;We have assembled the representatives of the newly acquired states of the Federation to discuss their integration into our state. What will they decide ? ;;;;;;;;;;;;x
Ameriga7.T; The Congress of Fort Lothère;;;;;;;;;;;;x 
Ameriga7.D;We have assembled the representatives of the newly acquired states of the Federation to discuss their integration into our state. What will they decide ? ;;;;;;;;;;;;x
Ameriga8.T;The Question of Government ;;;;;;;;;;;;x 
Ameriga8.D;With the reconquest of Atlantia, some people are beginning to argue about the benevolent rule of Denis d'Aigle. Our president has now announced that he will be making a speech to answer the question of the nature of our government. ;;;;;;;;;;;;x 
Ameriga9.T;A note about Para ;;;;;;;;;;;;x 
Ameriga9.D;The winner of the Columbian war has relinquished all claims on Para  ;;;;;;;;;;;;x 
Ameriga10.T;$FROMCOUNTRY_ADJ$ Envoy   ;;;;;;;;;;;;x 
Ameriga10.D;We have been proposed to enter a greater Federation with $FROMCOUNTRY$ ;;;;;;;;;;;;x 
Ameriga11.T;$COUNTRY_ADJ$ claims ;;;;;;;;;;;;x 
Ameriga11.D;With $COUNTRY_ADJ$ forces occupying the vast pampas of New-Cornwall, our claim is now recognized by the entire World !;;;;;;;;;;;;x 
Ameriga12.T;$COUNTRY_ADJ$ claims ;;;;;;;;;;;;x 
Ameriga12.D;With $COUNTRY_ADJ$ forces occupying the detroit between the Pacific and Atlantic oceans, our claim is now recognized by the entire World ! ;;;;;;;;;;;;x 
Ameriga13.T;$COUNTRY_ADJ$ claims ;;;;;;;;;;;;x 
Ameriga13.D;With $COUNTRY_ADJ$ forces occupying the territories west of the Andes, our claim is now recognized by the World ! ;;;;;;;;;;;;x 
Ameriga14.T;An Amerigan Proposition ;;;;;;;;;;;;x 
Ameriga14.D;Representatives from the Amerigan State have arrived to our capital to discuss the integration of Beornia into their state. We have had ties with the Lotharians for centuries and should we refuse it is likely they will invade us anyway. ;;;;;;;;;;;;x 
Ameriga15.T;Positive Response;;;;;;;;;;;;x 
Ameriga15.D;The Beornians have accepted, the whole Amerigan Atlantic Coast is now united !;;;;;;;;;;;;x 
Ameriga16.T;Negative Response;;;;;;;;;;;;x 
Ameriga16.D;The Beornians have refused to integrate the Federation;;;;;;;;;;;;x 
Ameriga17.T;The Congress of Camelot;;;;;;;;;;;;x 
Ameriga17.D;The Beornian representatives have been assembled there in their old capital. What will be their choice ? ;;;;;;;;;;;;x 
Ameriga18.T;The Congress of Cartagena;;;;;;;;;;;;x 
Ameriga18.D;The Granadan representatives have been assembled there in their old capital. What will be their choice ? ;;;;;;;;;;;;x 
exploration_of_Amazonia_GRA_title; Exploration of Amazonia;;;;;;;;;;;;x
exploration_of_Amazonia_GRA_desc; The vast jungles along the Amazon river are void and non-occupied. From our bases in Para we can claim the are and take the territory for ourselves;;;;;;;;;;;;x
exploration_of_Amazonia_GUY_title; Exploration of Amazonia ;;;;;;;;;;;;x
exploration_of_Amazonia_GUY_desc; The vast jungles along the Amazon river are void and non-occupied. From our bases in Para we can claim the are and take the territory for ourselves;;;;;;;;;;;;x
LST_recognized_title;Recognition of Lusitania;;;;;;;;;;;;x
LST_recognized_desc; We truly are the dominant power in the area and Mexico will be forced to back his claims ! ;;;;;;;;;;;;x
ATL_recognized_title; Atlantia in the Federation ;;;;;;;;;;;;x
ATL_recognized_desc; Lotharingia is now forced to recognize the inclusion of Atlantia in the Amazonian Federation. All hail Amazonia ! ;;;;;;;;;;;;x
Manifest_destiny_AMADEM_title; Southern Ambitions ;;;;;;;;;;;;x
Manifest_destiny_AMADEM_desc; With Atlantia integrated in the Federation many in the high spheres have asked for expansion into Lotharingia. Many plans have been proposed but which one will get the vote of the Parliament ? ;;;;;;;;;;;;x
integrate_guarani_title; Integration of the Guaranis;;;;;;;;;;;;x
integrate_guarani_desc;Now that we have conquered territories where reside Guaranis, we can integrate them into the Federation to counterbalance the Lotharian influence in the area, a move the Lotharians won't like. ;;;;;;;;;;;;x
new_amsterdam_treaty_border_title; The Lotharian Congress ;;;;;;;;;;;;x
new_amsterdam_treaty_border_desc; Now we are in control of Libreville and Nouvelle-Alsace, we should assemble the Lotharian representatives to try to make them accept our rule. However should they refuse, it would be an action that could spark a revolt in the new territories...;;;;;;;;;;;;x
new_amsterdam_treaty_guarani_title;The Lotharian Congress ;;;;;;;;;;;;x
new_amsterdam_treaty_guarani_desc; With our control over the new states of the Federation established, we should assemble the Lotharian representatives to try to make them accept our rule. However should they refuse, it would be an action that could spark a revolt in the new territories...;;;;;;;;;;;;x
new_amsterdam_treaty_federation_title; The Lotharian Congress;;;;;;;;;;;;x
new_amsterdam_treaty_federation_desc; With our complete control over what was Lotharingia, we should assemble the Lotharian representatives to try to make them accept our rule. However should they refuse, it would be an action that could spark a revolt in the new territories...;;;;;;;;;;;;x
colombian_empire2_title; The Colombian Empire ;;;;;;;;;;;;x
colombian_empire2_desc; The Veracruz Plan may have failed but we have achieved complete dominance over the rebels. It is time to crown our glorious leader emperor of Gran Colombia and free our southern brethren !;;;;;;;;;;;;x
buy_falklands_title;Buy the Falklands;;;;;;;;;;;;x 
buy_falklands_desc;We have lost the Falkland Islands to the Scandinavians and no one objected their seizure. But now they are not recognized as a Great power anymore we could offer to buy the islands for a hefty price;;;;;;;;;;;;x
135623.T;A Beornian envoy ;;;;;;;;;;;;x 
135623.D;We have received a proposition from Beornia about the islands in South Atlantic. They are ready to buy them for a really good price;;;;;;;;;;;;x 
135624.T;Positive Response ;;;;;;;;;;;;x 
135624.D;The Scandinavians have sold us the Falklands. Long live Beornia ! ;;;;;;;;;;;;x 
135625.T;Negative Response;;;;;;;;;;;;x 
135625.D;The Scandinavians have declined our offer ....;;;;;;;;;;;;x 
135626.T;Renaming the Islands ;;;;;;;;;;;;x 
135626.D;Now we control the islands we can finally say that the Falklands are Beornian !;;;;;;;;;;;;x 
135627.T;Claiming South Georgia;;;;;;;;;;;;x  
135657.D;South of the Falklands lies the island of South Georgia. A frozen rock some say but at least it's our useless rock in the Atlantic ! ;;;;;;;;;;;;x 
AMA1.T;La Rive Gauche ;;;;;;;;;;;;x
AMA1.D;The Para region which controls the west bank of the Amazon river has been under Spanish domination for decades. However it is a backward place where nobody lives except the local tribes and some Guianan outposts. Settlers from the Equinoxian Republic have begun inhabiting the region and are advancing more every day. We could take advantage of the current war to seize Para and annex it to Equinoxia. However we should be aware that when the war ends, the victor could come back reclaiming these lands ... ;;;;;;;;;;;;x
AMA2.T;Message from Para ;;;;;;;;;;;;x
AMA2.D;The Amazonian settlers have seized the entirety of the Para area ! ;;;;;;;;;;;;x
AMA3.T;Para ? ;;;;;;;;;;;;x
AMA3.D;My king, one matter has come to the attention of our councillors. The region of Para was nominally under our protection for decades but the Amazonian settlers have profited from the war to seize it. It is worthless lands ans swamps but by principle we should ask a compensation. We could threaten to go to war or ask a monetary compensation to finance our war debts ... ;;;;;;;;;;;;x
AMA4.T;Spanish envoy ;;;;;;;;;;;;x
AMA4.D;The Spanish delegates have approached us about our seizure of Para. They are willing to drop the matter if we pay them "reparations" on a 12year basis. What do we do ? ;;;;;;;;;;;;x
AMA5.T;Amazonian Response;;;;;;;;;;;;x
AMA5.D;The Amazonian have accepted. The first payment is fulfilled. ;;;;;;;;;;;;x
AMA6.T;Amazonian Response  ;;;;;;;;;;;;x
AMA6.D;The Amazonian have refused to pay reparations. There is only one solution : war.  ;;;;;;;;;;;;x
AMA7.T;Second payment ;;;;;;;;;;;;x
AMA7.D;It is the time to pay our "reparations" to Spain ;;;;;;;;;;;;x
AMA8.T;Reparations for Para;;;;;;;;;;;;x
AMA8.D;The Amazonian government has sent us another payment of the reparations;;;;;;;;;;;;x
AMA9.T;Third payment ;;;;;;;;;;;;x
AMA9.D;We have to pay for the reparations. Just one more time and it will be finished;;;;;;;;;;;;x
AMA10.T;Last payment ;;;;;;;;;;;;x
AMA10.D;Finally we must complete the reparations;;;;;;;;;;;;x
AMA11.T;Last payment;;;;;;;;;;;;x 
AMA11.D;Amazonie has paid all the reparations ;;;;;;;;;;;;x
AMA12.T;Spanish Demands ;;;;;;;;;;;;x
AMA12.D;The Spanish government has asked us to relinquish our control of Para. Should we choose not to give it up, it will mean war .... ;;;;;;;;;;;;x
AMA13.T;Para regained ;;;;;;;;;;;;x
AMA13.D;Amazonie has bowed before our demands ! ;;;;;;;;;;;;x
AMA14.T;Para ? ;;;;;;;;;;;;x
AMA14.D;While we were rejoicing over our total victory over the insurgents, some our councillors have reminded us of Para. The region of Para was nominally under our protection for decades but the Amazonian settlers have profited from the war to seize it. It is worthless lands ans swamps but by principle we should ask a compensation. We could threaten to go to war or ask a monetary compensation to finance our war debts ...  ;;;;;;;;;;;;x
AMA15.T;Amazonian crimes ;;;;;;;;;;;;x
AMA15.D;We have faced many hardships : we vainquished Spain definitely and proved to the world that we stand united and it is now time to settle the conflict with Amazonia. They seized Para during the war, thinking no one would try to take it but they are wrong, we did not forget and foremost, we didn't forgive. We can ask them to give up the area or we could settle for some monetary "reparations" ;;;;;;;;;;;;x
AMA16.T;Colombian envoy ;;;;;;;;;;;;x 
AMA16.D;The Colombian delegates have approached us about our seizure of Para. They are willing to drop the matter if we pay them "reparations" on a 12year basis. What do we do ?  ;;;;;;;;;;;;x 
AMA17.T;Amazonian Response ;;;;;;;;;;;;x 
AMA17.D;The Amazonian have accepted. The first payment is fulfilled.;;;;;;;;;;;;x 
AMA18.T;Amazonian Response;;;;;;;;;;;;x  
AMA18.D;The Amazonian have refused to pay reparations. There is only one solution : war.   ;;;;;;;;;;;;x  
AMA19.T;Second payment ;;;;;;;;;;;;x 
AMA19.D;It is the time to pay our "reparations" to Gran Colombia ;;;;;;;;;;;;x 
AMA20.T;Reparations for Para;;;;;;;;;;;;x 
AMA20.D;The Amazonian government has sent us another payment of the reparations;;;;;;;;;;;;x 
AMA21.T;Third payment;;;;;;;;;;;;x 
AMA21.D;We have to pay for the reparations. Just one more time and it will be finished;;;;;;;;;;;;x 
AMA22.T;Last payment;;;;;;;;;;;;x 
AMA22.D;Finally we must complete the reparations;;;;;;;;;;;;x 
AMA23.T;Last payment;;;;;;;;;;;;x 
AMA23.D;Amazonie has paid all the reparations;;;;;;;;;;;;x 
AMA24.T;Colombian Demands;;;;;;;;;;;;x  
AMA24.D;The Colombian government has asked us to relinquish our control of Para. Should we choose not to give it up, it will mean war .... ;;;;;;;;;;;;x 
AMA25.T;Para regained ;;;;;;;;;;;;x 
AMA25.D;Amazonie has bowed before our demands ! ;;;;;;;;;;;;x 
AMA26.T;Chaos in the Federation ;;;;;;;;;;;;x 
AMA26.D;The loss of Atlantia has created a great distrust between the government and the military, the latter accusing the former of having betrayed them and that victory was near. A circle of officer has decided to end the democratic rabble and plan to take the Parliament by force. ;;;;;;;;;;;;x 
AMA27.T;Talks of secession in Equinoxia  ;;;;;;;;;;;;x 
AMA27.D;The Equinoxian republic has always been distinct inside the Federation and also one of the most democratic. The end of the democracy in Amazonia has made some Equinoxian think about secession and it seems their movement spread to Vaura ... ;;;;;;;;;;;;x 
AMA28.T;The Cappadocian Revolution !;;;;;;;;;;;;x 
AMA28.D;The Equinoxian patriots have risen against the government decided to leave the Federation to create their own democratic state ! ;;;;;;;;;;;;x 
AMA29.T;Seizure of Port-Liberté;;;;;;;;;;;;x 
AMA29.D;With the capture of the military commandment, the war has been declared null and void. The Equinoxian leader has proclaimed the Federation and reestablished the Constitution ;;;;;;;;;;;;x 
AMA30.T;End of the Civil War;;;;;;;;;;;;x 
AMA30.D;With the last strongholds taken by our forces, Amazonia is once again one and indivisible !;;;;;;;;;;;;x 
AMA31.T;The return of the king ? ;;;;;;;;;;;;x 
AMA31.D;Many in the military are supporters of a monarchy in Amazonia. Should we start looking for a monarch ? ;;;;;;;;;;;;x 
AMA32.T;Homeland or New World ? ;;;;;;;;;;;;x 
AMA32.D;Two possible monarchs were found. The Duke of Brittany and the duke of Leonie. Choosing one will also guide our external policy;;;;;;;;;;;;x 
AMA33.T;The Constitution ;;;;;;;;;;;;x 
AMA33.D;The new monarch must choose how he will rule (or not). ;;;;;;;;;;;;x 
Ameriga_AMA_title; The Federation ;;;;;;;;;;;;x 
Ameriga_AMA_desc; Despite the wars with Lotharingia, we now stand proud as the dominant power of Ameriga. We can now unify the two former Frankish colonies into a single state that will rivalize with the Great European Powers. Long Live Ameriga ! ;;;;;;;;;;;;x 
Ameriga_LOT_title; The Federation ;;;;;;;;;;;;x 
Ameriga_LOT_desc; Despite the wars with Amazonia, we now stand proud as the dominant power of Ameriga. We can now unify the two former Frankish colonies into a single state that will rivalize with the Great European Powers. Long Live Ameriga ! ;;;;;;;;;;;;x 
Northern_border_title;The Northern Border;;;;;;;;;;;;x 
Northern_border_desc;North of the vast Amazonian jungle is located the old Spanish territories of Guyana. With the forest an integral part of our country we have to act and annex the border to avoid any threats to it. ;;;;;;;;;;;;x 
Federation_NAN_title;Beornia in the Federation ;;;;;;;;;;;;x 
Federation_NAN_desc;With our control of Eastern Ameriga complete and secured some of our politics have talked to integrate Beornia into the Federation. They are likely to refuse but their small size will let us integrate them by force if necessary;;;;;;;;;;;;x 
NAN_congress_title;The Beornian Congress;;;;;;;;;;;;x 
NAN_congress_desc; With the old Beornian capital in our hands and their country under our control we can call a council to try to integrate the Beornians into the Federation. Should they refuse it would mean countless years of opposition from the natives ;;;;;;;;;;;;x 
Granada_border_title;The Conquest of Granada ;;;;;;;;;;;;x 
Granada_border_desc;Our Federation now extends from the Caribbean to the Pampas ! But until we secure Granada and Andagoya, we won't truly be the dominant power of Ameriga ! ;;;;;;;;;;;;x 
GRA_congress_title;The Granadan Congress;;;;;;;;;;;;x 
GRA_congress_desc; With Cartagena de Indias in our hands and we can call a council to try to integrate the Granadans into the Federation.;;;;;;;;;;;;x 
DUA_SS_title; History of the Dual-Monarchy ;;;;;;;;;;;;x
DUA_SS_desc; The World of Divergences is vastly different from ours. If you aren't familiar with its history, you should read that piece of text ;;;;;;;;;;;;x
SS1.T; History of the Dual-Monarchy ;;;;;;;;;;;;x
SS1.D; The execution of Joan of Arc would come to mark the beginning of the end for the French Wars of Succession (1337-1498), as the Armagnac Party would never again rise to what it once was. The Valois and their allies would fight on for another seventy years, but with the victory of Edward the Red Prince at Vichy the future of a Dual Monarchy of France and England was secured, only being confirmed with the 1498 Treaty of Rome. The threat of encirclement with the Marriage of Anne of Brittany with Jean III of Burgundy, led to the breakdown of the Anglo-Burgundian alliance in 1490 when, unable to challenge the marriage, invaded Brittany during the Anglo-Franco-Breton War (1490-1492). Burgundy, unable to provide support against France due to rebellion fermented by the House of Lorraine, forced Brittany's surrender. While it was too late to annul the marriage, with Jean having consummated it, the Treaty of Le Verger effectively saw Brittany annexed into the French crown.;;;;;;;;;;;;x
SS2.T; History of the Dual-Monarchy ;;;;;;;;;;;;x
SS2.D;The Reformation presented new challenges to the unity of the thrones. The deep involvement of the Valois in aiding Zwingli's escape from Papal and Imperial imprisonment was too good a pretext to end any alternate succession, causing the Languedoc War (1532), and ending with the conquest of Languedoc & Auvergne, leaving only a rump Provencal state in the Azure Coast and in Rhone. In addition to the affairs of Provence, it also engaged in what became known as the Great Game with the Kingdom of Burgundy and the Crown of Aragon. The subject of these wars of influence came about with Navarre (which saw the conquest of the County of Foix & Bearn in 1516), the Italian Peninsula (which ended largely as a victory for the Aragonese, as most of the Peninsula, save Savoy, Genoa, Milan, and the Emilian Dukedoms fell under their influence, compared to only Savoy for the Dual Monarchy), and even the County of Provence (which easily fell into the Aragonese camp to save them from being destroyed by the Plantagenets.);;;;;;;;;;;;x
SS3.T; The History of the Dual-Monarchy ;;;;;;;;;;;;x
SS3.D;While aggressively fighting heresy abroad the Kings of Both Thrones were initially tolerant of Protestants. King Francois I was torn between dynastic links to the firmly Catholic Jagiellons of Bohemia and a large portion of his populace firm in their new faith. Further strife in England and in Aquitaine combined with the growing threat of Burgundy (long the champion of the Protestant cause) tipped the balance leading first to the Anglo-French Wars of Religion (1598-1614) both within the Kingdom and among its neighbors, and later after the defeat of the Protestants, the Exodus of the Protestant Huguenots to Burgundy, Scandinavia and Colonial New Burgundy (now the Seven Republics) and the Anglican Father Pilgrim and their followers to what they would call New England (now Beornia).;;;;;;;;;;;;x
SS4.D;While England was briefly a viceroyalty under the Dukes of Gloucester, the throne would be forever undivided following the dissolution of the English Parliament by Henry VII in 1537, and its merging into the Estates General. The nobility with the exception of some distant provinces converged increasingly to Paris as French, became the official language throughout both kingdoms. This led to the gradual Francification of England as once English names were increasingly replaced by French. By the turn of the 19th century, French has become the primary common language in the Southern parts of England. The concept of a centralized Parliamentary body was revolutionary for its time, and, almost ironically, would influence the future legislative bodies of the Burgundian Estates-General, the Savoyard Subalpine Senate, the Aragonese Cortes and the Scandinavian Riksdag, among other European states.;;;;;;;;;;;;x
SS5.D;The Anglo-French history in Ireland was also something of a peculiar moment. During the French Wars of Succession, English, and later Anglo-French control of the Island was left in the hands of the House of Fitzgerald, the Earls of Kildare as much time was spent in building a new administrative apparatus for both England and France. Because of this, the Kildares, along with the House of Desmond, both began to rule Ireland as if it was their own Kingdom. The issues, which had been building up during the twilight years of the reign of Henri VIII culminated in the three Irish Wars (1573-1579, 1583-1594 and the Nine Years’ War, 1598-1607). Which gradually saw Ireland pacified, the rebel Irish Lords killed and the King of England and France reaffirmed as Lord of Ireland. ;;;;;;;;;;;;x
SS6.D;With the unexpected ascension of James IV of Scotland to the Throne of the North in 1500 the Plantagenêts faced the threat of encirclement by the alliance of Burgundy and the former. The exodus of the early 17th century was compounded by wars against Burgundy and Scandinavia pushing emigration to the colonies of Plantagenia and Amazonie. However the pushing towards these colonies were not without strife there as well, as conflicts were rife between Colonial Vinland and New Burgundy, as well as against the Cherokee and Creek, among other First Nation Tribes.;;;;;;;;;;;;x
SS7.D;Eventually, the Dual Monarchy secured its position as the unquestioned power in Western Europe amid the gradual decline of Spain. A period of relative peace in Europe allowed the Dual Monarchy to expand its influences abroad. The Dual Monarchy established trading posts along the coast of Sierra Lionne, allowed them to trade European goods for slaves to be sent to the New World. A series of wars with the Kingdom of Kandy (1696-1703, 1705-1715, 1716-1717) saw the entirety of Ceylon becoming an Anglo-French crown colony, allowing access to the Indian Ocean Trade through good relations with the Nasirid Sultans of Bengal. At the same time there was a great degree of expansion in the Anglo-French colonies in the New World, as colonial conflicts with Scandinavia, Burgundy and Spain, reinforced its mother country’s position. This period of colonial expansion was broken with the War of the Anglo-French Succession, leading to the independence of Plantagenia under a cadet branch of the House of Plantagenêt.;;;;;;;;;;;;x
SS8.D;Remaining largely aloof during the opening stages of the Great German Wars allowed the industrial revolution to take hold and the Dual Monarchy seemed set to dominate this new realm as well. But the battles of the later war quickly demonstrated that the old rival Burgundy was again on the rise as even beaten and battered it remained victorious, losing only its other colony Amazonie to independence. The Dual Monarchy enters the middle of the 19th century as the ultimate global power, but for the first time in over a century its position does not appear unassailable in Anvers and courts beyond.;;;;;;;;;;;;x
restore_greater_salvador_title; Claim Mesoameriga  ;;;;;;;;;;;;x
restore_greater_salvador_desc; With the dismantlement of what was Gran Colombia we are in the position to take back Mesoameriga ! ;;;;;;;;;;;;x
restore_lusitania_title; Claim Lusitania ;;;;;;;;;;;;x
restore_lusitania_desc; Before taking Mexico we should secure the Lusitanian lands, then we can march on Mexico;;;;;;;;;;;;x
restore_mexico_title; Claim Mexico ;;;;;;;;;;;;x
restore_mexico_desc; It is time to take back Mexico City to end once and for all the ideas of an independent Latin America ! ;;;;;;;;;;;;x 
CLM1.T;Administration of Gran Colombia ;;;;;;;;;;;;x
CLM1.D;We have reconquered Gran Colombia but now we have to administrate it. We could keep the rebellious colonies under our direct control but it has proved to be inefficient and one of the causes of the rebellion. We could then allow some home-rule with a direct administrator from Spain to rule over the colonies. The question is then how to divide the area : along the old vice-royalties or on a smaller basis ? ;;;;;;;;;;;;x
CLMcusco.T;The question of Cuzco ;;;;;;;;;;;;x 
CLMcusco.D;The old imperial city of the Incan Empire is in our hands since the end of the rebellion. Cuzco has been under our control since 1575 but the area is still predominantly inhabited by Quechua people and few have adopted our customs. Some in our government have suggested to give the territories depending of the Arequipa Capitancy to the Incan Empire to thank them for their intervention during the war. Although they were forced to surrender, the Incans decided the issue of the war by killing the Rebel leader Bolivar. Ceding Cuzco would surely assure us a period of peace in Colombia and ease the tensions that have accumulated over the years.;;;;;;;;;;;;x 
CLM_lib1.T;The end of the rebellion ;;;;;;;;;;;;x 
CLM_lib1.D;The rebels have spread liberal ideas throughout Colombia and many people in our colonies are inclined toward these. Many of the soldiers fighting in the war have heard of them and it seems the liberal hydra will be hard to stop. We can choose to keep absolutism and force the colonies to bow before our representatives. However reconciling with them by allowing them to elect their government under our supervision will be appreciated over the Atlantic but will create dissent here in Spain. Or more simply we could grant a Constitution to both the Colombians and the Spanish peoples.;;;;;;;;;;;;x 
CLM_lib2.T;The Royal terror ;;;;;;;;;;;;x 
CLM_lib2.D;The Royal officers are enforcing the Spanish law in our country ... ;;;;;;;;;;;;x 
CLM_lib3.T;The new Constitution ;;;;;;;;;;;;x 
CLM_lib3.D;The King has granted us concessions and partial home-rule !;;;;;;;;;;;;x 
CLM_lib4.T;Governor intervention ;;;;;;;;;;;;x 
CLM_lib4.D;The governor is placing the politics under the Spanish law. No reform is allowed by the Crown ...  ;;;;;;;;;;;;x 
CLM_lib5.T;The end of the colonial order ? ;;;;;;;;;;;;x 
CLM_lib5.D;With the end of absolutism in Spain, our subjects from Colombia are asking us to grant them partial home-rule;;;;;;;;;;;;x 
CLM_lib6.T;The Mancomunidad;;;;;;;;;;;;x 
CLM_lib6.D;With the Commonwealth proclaimed, the local government has accessed to home-rule.;;;;;;;;;;;;x 
emperor_of_india_title;The Empire of Indias;;;;;;;;;;;;x 
emperor_of_india_desc;Our hold on Colombia is clearly a success. To raise our status among the European Powers and also in our colonies, we can crown our King, "Emperor de las Indias Occidentales" and thus give him a special place in the Royal Families of the Old Continent ;;;;;;;;;;;;x 
mancomunidad_de_naciones_title;Mancomunidad de las naciones Colombianas ;;;;;;;;;;;;x 
mancomunidad_de_naciones_desc;Liberalisation has changed our society and the king no longer holds the same power as his forefathers. Our Prime Minister has presented us with a new proposal : grant home-rule to the colonies and create a Commonwealth grouping the metropolis and its colonies while crowning the sovereign in each Colombian state. It will surely make Spain and Colombia enter a new age of cordial relations and democracy;;;;;;;;;;;;x
Rif.T;The Strait of Gibraltar ;;;;;;;;;;;;x 
Rif.D;The region of Rif controls the African part of the Gibraltar strait, which controls a large portion of the international trade. Rif was integrated into our Mauretanian colony but some inhabitants have demanded to be integrated directly into Spain. It is the region where the Spanish are the more numerous and it could be interesting to keep it even if we grant autonomy to the Berbers in the future. ;;;;;;;;;;;;x 
CLM10.T; Lusitania reclaimed ;;;;;;;;;;;;x
CLM10.D; Rejoice citizens of Gran Columbia! Our armies have expelled the Spanish corps that had occupied the Lusitanian coast. The loyalists in the area have already given a copious donation for the war effort;;;;;;;;;;;;x
CLM11.T; Yucatan recaptured ;;;;;;;;;;;;x
CLM11.D;After fierce fightings in the jungle our armed forces have successfully repelled the Monarchists from the Yucatan peninsula. A threat to the heart of the resistance has been deleted and a generous donation has been made for the war effort ! ;;;;;;;;;;;;x
CLM12.T;Carthago Nova deleta est ;;;;;;;;;;;;x 
CLM12.D;The Antioquia region has been retaken by the glorious forces of his Majesty. Once the heart of the vice-royalty of Granada, Cartagena de Indias is now in ruins. Victim of fierce fightings between Loyalists and Independentists, the city was shelled by the Spanish navy in 1819 and never fully recovered. However many of the landowners of the area are trusting the monarchy to rebuild the city and they have made a gracious donation to help vanquish the rebels.  ;;;;;;;;;;;;x
CLM13.T;Cuzco retaken ;;;;;;;;;;;;x
CLM13.D;Our forces are parading in the streets of the old capital of the Inca Empire. The looting of the area has provided a nice benefit for the crown and the control of the Amerigan region shows that the war will soon be over ;;;;;;;;;;;;x
CLM14.T;Partial Peace ? ;;;;;;;;;;;;x
CLM14.D;The victory in Yucatan and Lusitania can't hide the fact that the war is harsh. Maybe we could try to ask a deal with the Spanish to secure the revolution in the Northern territories ? We could cede them the Granadan territories allowing us to lick our wounds and later save them;;;;;;;;;;;;x
CLM15.T;Peace in Colombia ? ;;;;;;;;;;;;x
