;;;;;;;;;;;;;x,,,,,
EVTDESC800096;Several foreigners were attacked in $CAPITAL$, an incident spurred on by differences between their country and our government's anarcho-liberal policies. It has severely harmed our relations.;;;;;;;;;;;;x,,,,
EVTNAME800097;Diplomatic Incident;;;;;;;;;;;;x,,,,,
EVTDESC800097;Several foreigners were attacked in $CAPITAL$, an incident spurred on by differences between their country's radical ideology and our government's policies. It has severely harmed our relations.;;;;;;;;;;;;x,,,,
EVTNAME800098;$COUNTRY_ADJ$ Citizens Attacked in $FROMCOUNTRY$;;;;;;;;;;;;x,,,,,
EVTDESC800098;Several of our country's citizens have been attacked in the capital of $FROMCOUNTRY$, an incident spurred on by the severe differences between our country's ideology and their's. The $FROMCOUNTRY_ADJ$ has been extremely reluctant to admit any involvement in the affair, and our relations have been hurt as a result.;;;;;;;;;;;;x,,,
EVTNAME800099;Nationalist Victory;;;;;;;;;;;;x,,,,,
EVTDESC800099;Nationalist rebels have successfully seceded from $COUNTRY$. Their young nation, however, is still very much in chaos and vulnerable to attack. Their leaders have approached the $COUNTRY_ADJ$ government, hopeful for a reconciliation now that they have proven their mettle. It falls to us to decide if we will recognize the loss of territory, and perhaps gain an ally, or fight to retake what we have lost.;;;;;;;;;;;;x
EVTNAME800100;$COUNTRY_ADJ$ Patriots;;;;;;;;;;;;x,,,,,
EVTDESC800100;We have been contacted by $COUNTRY_ADJ$ patriots, currently living under the dominion of a neighboring country. They suggest that there is an opportunity to stir up sentiment among those living there so that they may rise up and rejoin the mother country. There is, of course, a risk that our efforts could be discovered and bring war down upon us. Should we help them?;;;;;;;;;;;;x,,
EVTNAME800101;$FROMCOUNTRY$ Spreading Dissent;;;;;;;;;;;;x,,,,,
EVTDESC800101;We have received reports that the $FROMCOUNTRY_ADJ$ government has been inciting dissent among minorities in $COUNTRY$. This is an act of aggression that deserves a swift response.;;;;;;;;;;;;x,,,,,
EVTNAME800102;We Have Been Discovered;;;;;;;;;;;;x,,,,,
EVTDESC800102;Our efforts to incite $COUNTRY_ADJ$ patriots in $FROMCOUNTRY$ have been discovered. The $FROMCOUNTRY_ADJ$ government is threatening war over this breach of their sovereignty.;;;;;;;;;;;;x,,,,,
EVTNAME800110;A Royal Wedding;;;;;;;;;;;;x,,,,,
EVTDESC800110;Several ministers have suggested that the royal heir is old enough to be married. They suggest seeking out a suitable candidate from among the royalty of $COUNTRY$'s neighbors. This will not only please the masses, but establish better relations between our two countries.;;;;;;;;;;;;x,,,,
EVTNAME800111;A Royal Wedding;;;;;;;;;;;;x,,,,,
EVTDESC800111;Several ministers have suggested that one of the royal heirs is old enough to be married. Though it would be better to seek out a candidate from the royal families of neighboring countries, the ministers have concluded that there is no-one suitable. They have, however, found a member of the $COUNTRY_ADJ$ aristocracy who fits the bill.;;;;;;;;;;;;x,,
EVTNAME800112;An Heir Is Born!;;;;;;;;;;;;x,,,,,
EVTDESC800112;Royal supporters gathered outside of the palace in $CAPITAL$ today to celebrate the birth of a new member of the royal family. This ensures the longevity of the $COUNTRY_ADJ$ dynasty.;;;;;;;;;;;;x,,,,,
EVTNAME800113;Presenting the Heir;;;;;;;;;;;;x,,,,,
EVTDESC800113;Members of the $COUNTRY_ADJ$ aristrocracy gathered at the royal palace in $CAPITAL$ for a gala in honor of the young heir. The event was a huge spectacle, with crowds gathered outside to witness the young man as he was presented to them on the palace balcony.;;;;;;;;;;;;x,,,,
EVTNAME800114;Presenting the Heir;;;;;;;;;;;;x,,,,,
EVTDESC800114;Members of the $COUNTRY_ADJ$ aristrocracy gathered at the royal palace in $CAPITAL$ for a gala in honor of the young heir. The event was a huge spectacle, with crowds gathered outside to witness the young woman as she was presented to them on the palace balcony.;;;;;;;;;;;;x,,,,
EVTNAME800115;Questioning the Monarchy;;;;;;;;;;;;x,,,,,
EVTDESC800115;There has been some open questioning of the $COUNTRY_ADJ$ monarchy, with some citizens apparently believing the time has come to move to a more democratic form of government. Members of the aristocracy have been upset by this talk, and have been calling on the government to crack down.;;;;;;;;;;;;x,,,
EVTNAME800116;Underground Newspaper;;;;;;;;;;;;x,,,,,
EVTDESC800116;Those opposed to the $COUNTRY_ADJ$ monarchy have started printing an underground newspaper in $PROVINCENAME$, spreading revolutionary ideas.;;;;;;;;;;;;x,,,,
EVTNAME800117;Demonstration in $CAPITAL$;;;;;;;;;;;;x,,,,,
EVTDESC800117;A massive demonstration has taken place in $CAPITAL$, calling on the government to provide more freedom to the masses.;;;;;;;;;;;;x,,,,
EVTNAME800118;Overthrow the Monarch;;;;;;;;;;;;x,,,,,
EVTDESC800118;$COUNTRY_ADJ$ police have found evidence of a secret revolutionary society which has been founded to overthrow our monarchy. The royal ministers have suggested taking immediate action.;;;;;;;;;;;;x,,,,,
EVTNAME800119;Revolutionaries Arrested;;;;;;;;;;;;x,,,,,
EVTDESC800119;Police have managed to find and arrest the revolutionary society.;;;;;;;;;;;;x,,,,,
EVTNAME800120;A Celebration of Freedom;;;;;;;;;;;;x,,,,,
EVTDESC800120;A massive celebration has broken out in $CAPITAL$ to commemorate the end of totalitarianism. While not everything is perfect, there is now hope for a more democratic future.;;;;;;;;;;;;x,,,,
EVTNAME800121;Powers of the Monarchy;;;;;;;;;;;;x,,,,,
EVTDESC800121;There has been increasing question as of late as to the amount of power the monarchy has in $COUNTRY$. Many prominent citizens have been speaking out publicly in favor of allowing different parties to partake in the government and provide alternate points of view.;;;;;;;;;;;;x,,,,,
EVTNAME800122;Voting Rights;;;;;;;;;;;;x,,,,,
EVTDESC800122;Word has reached the royal council that a number of prominent citizens are clamoring for greater freedom to vote. There are, however, still others who believe the monarchy has extended too many freedoms as it is.;;;;;;;;;;;;x,,,
EVTNAME800123;The Old Guard;;;;;;;;;;;;x,,,,,
EVTDESC800123;The $COUNTRY_ADJ$ aristocracy has never been in favor of change, and with the rise of liberal attitudes there are those in elite circles who feel that something needs to be done. A cabal of old guard aristocrats has formed, with the reported goal of ensuring that traditional values be maintained.;;;;;;;;;;;;x,,,
EVTNAME800147;Sepoy Rebels Force Concessions;;;;;;;;;;;;x,,,,,
EVTDESC800147;The Indian subcontinent has been overwhelmed by the Sepoy rebels. Our garrisons are in retreat, and our colonial governors have already fled for safer ports. We have no choice but to give into their demands, many of which involve removing $COUNTRY_ADJ$ influence from any of the nations we have subjugated over the years of our rule.;;;;;;;;;;;;x,,,
EVTNAME800148;$FROMCOUNTRY$ Driven Out of South Asia;;;;;;;;;;;;x,,,,,
EVTDESC800148;The $FROMCOUNTRY_ADJ$ presence in South Asia has come to an end, thanks to the spread of the Sepoy Rebellion. With $FROMCOUNTRY_ADJ$ governors fleeing the subcontinent in droves, our nation suddenly has a chance to regain lost lands and obtain our freedom ...whether we wish it or not.;;;;;;;;;;;;x,,,
EVTNAME800149;Rebels Storm $CAPITAL$!;;;;;;;;;;;;x,,,,,
EVTDESC800149;After a swarm of violence and looting that engulfed the entire nation, $COUNTRY_ADJ$ rioters have stormed the capital. The government has been forced to make numerous concessions, in a desperate bid to calm the people. So far it seems to have worked, and has spared many leaders from being executed by angry mobs, but it remains to be seen whether these concessions will only cause more problems in the end than they solved.;;;;;;;;;;;;x,
EVTNAME800150;Pan-Nationalists Victorious!;;;;;;;;;;;;x,,,,,
EVTDESC800150;Pan-nationalist rebels demanding a greater $UNION_ADJ$ union have taken over $CAPITAL$, and have begun spreading the idea of $COUNTRY$ becoming part of $CULTURE_GROUP_UNION$ no matter the cost to $COUNTRY_ADJ$ sovereignty.;;;;;;;;;;;;x,,,,
EVTNAME800151;$COUNTRY_ADJ$ Patriots;;;;;;;;;;;;x,,,,,
EVTDESC800151;$COUNTRY_ADJ$ patriots have risen up in a neighboring country, and have gained sufficient control that they have sent word they wish to bring the province back to $COUNTRY$. Agreeing would mean risking war, but refusing would mean angering our people.;;;;;;;;;;;;x,,,
EVTNAME800152;Provinces Brought Under Control;;;;;;;;;;;;x,,,,,
EVTDESC800152;With the patriot rebellion now over, our provinces have now been brought under control and $COUNTRY_ADJ$ governors are once again in command.;;;;;;;;;;;;x,,,,
end_of_the_UK_title;The end of the United Kingdom;;;;;;;;;;;;;x,,,,,
end_of_the_UK_desc;With both Scotland and Ireland gone, this Kingdom can't be called 'United' anymore. Long live England!;;;;;;;;;;;;;x,,,,
garibaldi_redshirts_title;Expedition of the Thousand;;;;;;;;;;;;x,,,,,
garibaldi_redshirts_desc;The revolutionary leader, Giuseppe Garibaldi, has called upon the Italian people to take arms in the name of unification. A volunteer army under Garibaldi's leadership will topple the southern governments and remove the stain of the Bourbon legacy from the peninsula forever.;;;;;;;;;;;;x,,,
war_italian_independence_title;War of Italian Independence;;;;;;;;;;;;x,,,,,
war_italian_independence_desc;It falls upon our nation to break the power that Austria has over Italy. Lombardia must be freed, at any cost.;;;;;;;;;;;;x,,,,
italian_call_to_union;Italian Call to Union;;;;;;;;;;;;x,,,,,
italian_call_to_union_title;Italian Call to Union;;;;;;;;;;;;x,,,,,
italian_call_to_union_desc;The time has come to call upon the Italian people to rise up and unite under a common banner. Risorgimento must commence!;;;;;;;;;;;;x,,,,,
we_are_italian_title;$COUNTRY$ is Italian!;;;;;;;;;;;;x,,,,,
we_are_italian_desc;Now that we are free, it is time to reassert our Italian heritage. We must rejoin the motherland!;;;;;;;;;;;;x,,,,
unite_with_tuscany_title;Unite with Tuscany;;;;;;;;;;;;x,,,,,
unite_with_tuscany_desc;For the good of Italian reunification, the time has come for Lucca to unite with our Tuscan neighbours to the south.;;;;;;;;;;;;x,,,,
objects_to_italy;Objects to Italian Unification;;;;;;;;;;;;x,,,,,
wants_to_unify;Wants to Unify;;;;;;;;;;;;x,,,,,
become_flanders_title;Become Flanders;;;;;;;;;;;;;x,,,,,
become_flanders_desc;Without the Wallonians,it is time for the Flemish to rule once again.;;;;;;;;;;;;;x,,,,
become_wallonia_title;Become Wallonia;;;;;;;;;;;;;x,,,,,
become_wallonia_desc;Without the Flemish,it is time for the Wallonian flag to fly once more.;;;;;;;;;;;;;x,,,,
become_belgium_FLA_title;Unite Belgium;;;;;;;;;;;;;x,,,,,
become_belgium_FLA_desc;The Flemish and the Wallonians may re-unite under a single flag. Long live Belgium!;;;;;;;;;;;;;x,,,,,
become_belgium_WLL_title;Unite Belgium;;;;;;;;;;;;;x,,,,,
become_belgium_WLL_desc;The Flemish and the Wallonians may re-unite under a single flag. Long live Belgium!;;;;;;;;;;;;;x,,,,,
become_poland_title;Jeszcze Polska nie Zginela;;;;;;;;;;;;;x,,,,,
become_poland_desc;Poland must be reborn! With Warsaw back in our hands, we must take the first step towards uniting all Polish people under a common flag!;;;;;;;;;;;;;x,,,,
unite_with_poland_title;Unite with Poland;;;;;;;;;;;;;x,,,,,
unite_with_poland_desc;Now that Poland has been reborn, the time has come from Krakow to rejoin the motherland.;;;;;;;;;;;;;x,,,,
claim_hedjaz_NEJ_title;Claim Hedjaz;;;;;;;;;;;;;x,,,,,
claim_hedjaz_NEJ_desc;We must claim the western lands in Hedjaz if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,
claim_hedjaz_HAL_title;Claim Hedjaz;;;;;;;;;;;;;x,,,,,
claim_hedjaz_HAL_desc;We must claim the western lands in Hedjaz if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,
claim_arabia_HDJ_title;Claim Eastern Arabia;;;;;;;;;;;;;x,,,,,
claim_arabia_HDJ_desc;We must claim the eastern lands in Nejd and Hail if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,
claim_arabia_ASR_title;Claim Northern Arabia;;;;;;;;;;;;;x,,,,,
claim_arabia_ASR_desc;We must claim the rest of the peninsula if we are to unite all of Arabia under our rule!;;;;;;;;;;;;;x,,,,,
claim_arabian_peninsula_title;Claim Greater Arabia;;;;;;;;;;;;;x,,,,,
claim_arabian_peninsula_desc;We must unite all of the Arabian peninsula under our rule, including all of the Trucial States, Oman, and Yemen.;;;;;;;;;;;;;x,,
become_saudi_arabia_title;Become Arabia;;;;;;;;;;;;;x,,,,,
become_saudi_arabia_desc;We must reunite Nejd and Hedjaz under a single flag!;;;;;;;;;;;;;x,,,,,
form_saudi_arabia_title;Form Arabia;;;;;;;;;;;;;x,,,,,
form_saudi_arabia_desc;A united arab nation under our rule will make a strong and stable ally.;;;;;;;;;;;;;x,,,,,
become_uzbekistan_khiva_title;Become Uzbekistan;;;;;;;;;;;;;x,,,,,
become_uzbekistan_khiva_desc;We must unite the Uzbeks into a single state, with sovereignty over all our ancestral land. Under Uzbek leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;x,,,
become_uzbekistan_bukkhara_title;Become Uzbekistan;;;;;;;;;;;;;x,,,,,
become_uzbekistan_bukkhara_desc;We must unite the Uzbeks into a single state, with sovereignty over all our ancestral land. Under Uzbek leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;x,,,
become_kyrgyzstan_title;Become Kyrgyzstan;;;;;;;;;;;;;x,,,,,
become_kyrgyzstan_desc;We must unite the Kyrgyz into a single and modern state, with sovereignty over all our ancestral land. Under Kyrgyz leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;x,,,
unite_turkestan_title;Unite Turkestan;;;;;;;;;;;;;x,,,,,
unite_turkestan_desc;Under our nation's leadership, the Turkmen, Kyrgyz, Tajiks and Uzbeks can at last be united into a single Turkestan. Should this dream ever come to pass, the world shall tremble before our might!;;;;;;;;;;;;;x,
organize_angola_title;Organize the Angolan Colony;;;;;;;;;;;;;x,,,,,
organize_angola_desc;Angola is becoming a true Portuguese colony. We must create the proper colonial structures, so that it stands on par with our European provinces.;;;;;;;;;;;;;x,,,,
organize_mozambique_title;Organize the Mozambican Colony;;;;;;;;;;;;;x,,,,,
organize_mozambique_desc;Mozambique is becoming a true Portuguese colony. We must create the proper colonial structures, so that it stands on par with our European provinces.;;;;;;;;;;;;;x,,,,
exile_house_of_saud_title;Banish the House of Saud;;;;;;;;;;;;;x,,,,,
exile_house_of_saud_desc;We are victorious over the House of Saud. We must send them into exile, so that Arabia stands united under a single flag: our own.;;;;;;;;;;;;;x,,,,
exile_house_of_rashid_title;Banish the House of Rashid;;;;;;;;;;;;;x,,,,,
exile_house_of_rashid_desc;We are victorious over the House of Rashid. We must send them into exile, so that Arabia stands united under a single flag: our own.;;;;;;;;;;;;;x,,,,
house_of_saud_exiled;House of Saud Exiled;;;;;;;;;;;;;x,,,,,
house_of_rashid_exiled;House of Rashid Exiled;;;;;;;;;;;;;x,,,,,
form_the_ikhwan_title;Alliance with the Wahhabists;;;;;;;;;;;;;x,,,,,
form_the_ikhwan_desc;An alliance with the Wahhabist religious order among the Bedouins will give us precisely the force we need to unite Arabia under our rule.;;;;;;;;;;;;;x,,,,,
the_ikhwan;The Ikhwan;;;;;;;;;;;;;x,,,,,
the_ikhwan_desc;An alliance has been made with the Bedouin Wahhabists. Islam shall remain pure in our nation, in exchange for their military support.;;;;;;;;;;;;;x,,,,
claim_nejd_title;Claim Nejd;;;;;;;;;;;;;x,,,,,
claim_nejd_desc;We cannot unite all of Arabia under our banner unless we control the central provinces. The House of Rashid must stand dominant!;;;;;;;;;;;;;x,,,,,
claim_hail_title;Claim Ha'il;;;;;;;;;;;;;x,,,,,
claim_hail_desc;We cannot unite all of Arabia under our banner unless we control the northern provinces. The House of Saud must stand dominant!;;;;;;;;;;;;;x,,,,,
