PROV3;坂能;;;;;;;;;;x
PROV2435;约瑟夫河三角洲;;;;;;;;;;;x
PROV2436;苏克雷港;;;;;;;;;;;x
PROV2437;约瑟夫河谷;;;;;;;;;;;x
PROV2438;罗约堡;;;;;;;;;;;x
PROV2439;新阿基坦;;;;;;;;;;;x
PROV2440;普陶斯山;;;;;;;;;;;x
PROV2441;圣日内维克;;;;;;;;;;;x
PROV2442;塞克里;;;;;;;;;;;x
PROV2443;诺耶斯山;;;;;;;;;;;x
PROV2444;帕拉夸托;;;;;;;;;;;x
PROV2445;安奇达克;;;;;;;;;;;x
PROV2446;利伯维尔;;;;;;;;;;;x
PROV2447;新阿姆斯特丹;;;;;;;;;;;x
PROV2448;莱诺特角;;;;;;;;;;;x
PROV2449;维克多;;;;;;;;;;;x
PROV2450;鲍尔当;;;;;;;;;;;x
PROV2451;瓦奈斯;;;;;;;;;;;x
PROV2452;帕格尼;;;;;;;;;;;x
PROV2453;布莱文;;;;;;;;;;;x
PROV2455;布兰切;;;;;;;;;;;x
PROV2456;弗拉维戈;;;;;;;;;;;x
PROV2457;伊斯内;;;;;;;;;;;x
PROV2458;瑟莫伊斯;;;;;;;;;;;x
PROV2459;豪特鲁切;;;;;;;;;;;x
PROV2460;维雷;;;;;;;;;;;x
PROV2461;多莫西;;;;;;;;;;;x
PROV2462;德兰希;;;;;;;;;;;x
PROV2463;洛萨里堡;;;;;;;;;;;x
PROV2464;胡安西;;;;;;;;;;;x
PROV2465;沃克莱西;;;;;;;;;;;x
PROV2466;玛诺彻;;;;;;;;;;;x
PROV2467;日圭尔;;;;;;;;;;;x
PROV2468;郑和;;;;;;;;;;;x
PROV2469;容州;;;;;;;;;;;x
PROV2470;容山;;;;;;;;;;;x
PROV2471;苍梧;;;;;;;;;;;x
PROV2472;南山;;;;;;;;;;;x
PROV2474;花莲;;;;;;;;;;;x
PROV2475;太通;;;;;;;;;;;x
PROV2476;清水;;;;;;;;;;;x
PROV2477;文桐;;;;;;;;;;;x
PROV2478;留沙;;;;;;;;;;;x
PROV2479;关州;;;;;;;;;;;x
PROV2480;黑水;;;;;;;;;;;x
PROV2481;广陵;;;;;;;;;;;x
PROV2482;帕莱瓦;;;;;;;;;;;x
PROV2483;卫州;;;;;;;;;;;x
PROV2484;亭山;;;;;;;;;;;x
PROV2485;浦森;;;;;;;;;;;x
PROV2487;博州;;;;;;;;;;;x
PROV2488;澳州;;;;;;;;;;;x
PROV2489;森楚;;;;;;;;;;;x
PROV2490;宜兰;;;;;;;;;;;x
PROV2491;澎湖;;;;;;;;;;;x
PROV2492;联强;;;;;;;;;;;x
PROV2493;永嘉;;;;;;;;;;;x
PROV2494;金门;;;;;;;;;;;x
PROV2497;努加;;;;;;;;;;;x
PROV2499;马瓦拉;;;;;;;;;;;x
PROV2501;纳干贾拉;;;;;;;;;;;x
PROV2502;库提库;;;;;;;;;;;x
PROV2503;阿拉马贡;;;;;;;;;;;x
PROV2504;万邦加朗;;;;;;;;;;;x
PROV2505;雍古;;;;;;;;;;;x
PROV2506;穆尔瓦拉;;;;;;;;;;;x
PROV2507;坎加马路;;;;;;;;;;;x
PROV2508;马卡里里;;;;;;;;;;;x
PROV2509;瓦加雷;;;;;;;;;;;x
PROV2510;塔拉纳基;;;;;;;;;;;x
PROV2511;劳库马拉;;;;;;;;;;;x
PROV2512;马纳瓦图;;;;;;;;;;;x
PROV2513;奥塔戈;;;;;;;;;;;x
PROV2515;提马鲁;;;;;;;;;;;x
PROV2516;莫图卡;;;;;;;;;;;x
PROV2522;奥罗金;Aorokin;Aorokin;;;;;;;;;;;x
PROV2524;埃南基欧;Enenkio;Enenkio;;;;;;;;;;;x
PROV2525;南鸟岛;Minamitorishima;Minamitorishima;;;;;;;;;;;x
PROV2526;考拉;Kaula;Kaula;;;;;;;;;;;x
PROV2527;通加鲁;Tungaru;Tungaru;;;;;;;;;;;x
PROV2528;莫图 科泰布;Motu Kotaibu;Motu Kotaibu;;;;;;;;;;;x
PROV2534;霍尼亚拉;Honiara;Honiara;;;;;;;;;;;x
PROV2535;瓦努阿图;Vanuatu;Vanuatu;;;;;;;;;;;x
PROV2536;提摩度;Temotu;Temotu;;;;;;;;;;;x
PROV2537;科科波;Kokopo;Kokopo;;;;;;;;;;;x
PROV2539;阿拉瓦;Arawa;Arawa;;;;;;;;;;;x
PROV2541;图瓦卢;Tuvalu;Tuvalu;;;;;;;;;;;x
PROV2542;富图纳群岛;Uvea Futuna;Uvea Futuna;;;;;;;;;;;x
PROV2549;玛鲁伯;;;;;;;;;;;x
PROV2550;沙那华;;;;;;;;;;;x
PROV2551;特何努阿;Te Henua;Te Henua;;;;;;;;;;;x
PROV2552;节日岛;Oeno;Oeno;;;;;;;;;;;x
PROV2554;弗洛维;;;;;;;;;;;x
PROV2555;圭戎;;;;;;;;;;;x
PROV2556;玛德琳娜;;;;;;;;;;;x
PROV2573;雅各布堡;Jekabsfort;Jakabsfort;;;;;;;;;;;x
PROV2592;布里克伯根;;;;;;;;;;;x
PROV2593;托儿维克;;;;;;;;;;;x
PROV2594;瑞克延斯布尔;;;;;;;;;;;x
PROV2596;葛兰维克;;;;;;;;;;;x
PROV2597;新都;;;;;;;;;;;x
PROV2598;泷川;;;;;;;;;;;x
PROV2599;一宫;;;;;;;;;;;x
PROV2600;希帕亚;;;;;;;;;;;x
PROV2601;皮雅特雅拉;;;;;;;;;;;x
PROV2602;库马隆;;;;;;;;;;;x
PROV2604;文城;;;;;;;;;;;x
PROV2605;延库贾拉;;;;;;;;;;;x
PROV2615;埃尼茨;;;;;;;;;;;x
PROV2619;雅纳;;;;;;;;;;;x
PROV2620;斯雅塞尔;;;;;;;;;;;x
PROV2623;皮荷马努;Pihemanu;Pihemanu;;;;;;;;;;;x
PROV2625;比约恩克平;;;;;;;;;;;x
PROV2626;索尔特堡;;;;;;;;;;;x
PROV2627;斯塔格沃;;;;;;;;;;;x
PROV2628;布莱纳维克;;;;;;;;;;;x
PROV2629;陆翔;;;;;;;;;;;x
PROV2630;末吉;;;;;;;;;;;x
PROV2631;土佐山田;;;;;;;;;;;x
PROV2644;杜彻尔;;;;;;;;;;;x
PROV2647;奥洛昆;;;;;;;;;;;x
PROV2648;纳奈;;;;;;;;;;;x
PROV2649;库米斯;;;;;;;;;;;x
PROV2651;什维;;;;;;;;;;;x
PROV2653;萨哈;;;;;;;;;;;x
PROV2657;考伊波尔;;;;;;;;;;;x
PROV2659;奈奈茨;;;;;;;;;;;x
PROV2659;塞尔卡普;;;;;;;;;;;x
PROV2668;奈季达尔;;;;;;;;;;;x
PROV2671;达奥尔;;;;;;;;;;;x
PROV2672;乌德戈尔;;;;;;;;;;;x
PROV2673;奥尔罕;;;;;;;;;;;x
PROV2675;埃文提;;;;;;;;;;;x
PROV2676;乌兰乌德;;;;;;;;;;;x
PROV2680;纳格纳森;;;;;;;;;;;x
PROV2682;那里姆;;;;;;;;;;;x
PROV2690;索基特;;;;;;;;;;;x
PROV2691;安纳特里;;;;;;;;;;;x
PROV2692;安纳琴茨;;;;;;;;;;;x
PROV2694;凯茨;;;;;;;;;;;x
PROV2698;安奇哈;;;;;;;;;;;x
PROV2869;大祖哈拉海岸;;;;;;;;;;;x
PROV2936;马克兰海岸;;;;;;;;;;;x
PROV2937;诺迪斯海;;;;;;;;;;;x
PROV2938;森托尔海峡;;;;;;;;;;;x
PROV2939;托尔维克湾;;;;;;;;;;;x
PROV2940;凯伦湾;;;;;;;;;;;x
PROV2941;马克兰湾;;;;;;;;;;;x
PROV2942;耶尔莫恩海岸;;;;;;;;;;;x
PROV2943;克朗恩湾;;;;;;;;;;;x
PROV2944;埃里克海峡;;;;;;;;;;;x
PROV2945;西萨德海;;;;;;;;;;;x
PROV2946;比耶尔维克海峡;;;;;;;;;;;x
PROV2947;霍隆堡海岸;;;;;;;;;;;x
PROV2948;比耶尔维克海岸;;;;;;;;;;;x
PROV2952;菲利普湾;;;;;;;;;;;x
PROV2953;新弗兰德湾;;;;;;;;;;;x
PROV2954;芬涅角;;;;;;;;;;;x
PROV2955;莱昂尼海岸;;;;;;;;;;;x
PROV2959;塔拉哈希湾;;;;;;;;;;;x
PROV2959;新法兰西湾;;;;;;;;;;;x
PROV3001;安达哥亚湾;;;;;;;;;;;x
PROV3009;青丘海;;;;;;;;;;;x
PROV3010;祁州海;;;;;;;;;;;x
PROV3011;定国海;;;;;;;;;;;x
PROV3012;荣州海;;;;;;;;;;;x
PROV3013;北环海岸;;;;;;;;;;;x
PROV3014;球磨海岸;;;;;;;;;;;x
PROV3015;司如海岸;;;;;;;;;;;x
PROV3022;维兰海岸;;;;;;;;;;;x
PROV3088;南祖哈拉海盆;;;;;;;;;;;x
PROV3112;斯卡纳达里奥湖;;;;;;;;;;;x
PROV3113;玛格丽塔湖;;;;;;;;;;x
PROV3114;佐雷斯湖;;;;;;;;;;;x
PROV3115;弗拉特湖;;;;;;;;;;x
PROV3116;沃雷根斯湖;;;;;;;;;;;x
PROV3118;芬涅湖;;;;;;;;;;;x
PROV3225;大盐湖;;;;;;;;;;x
PROV3226;南祖哈拉深海平原;;;;;;;;;;;x
PROV3227;里尔湖;;;;;;;;;;;x
PROV3228;布拉斯湖;;;;;;;;;;;x
PROV3229;兰琪湖;;;;;;;;;;;x
PROV3239;查尔斯湖;;;;;;;;;;;x
