;;;;;;;;;;;;;x,,,,
NORMAL_WAR_DISMANTLE_NAME;$ORDER$$FIRST$ War to Dismantle the $SECOND$ Empire;Grande Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Größer Krieg;Baza;Base:;Base:;Alap:;Základna:;;;;;;;x;;;;;;;;;;;;;;,,,,
EVTNAME96010;The Treaty of $CAPITAL$;Le Traité de $CAPITAL$;Der Vertrag von $CAPITAL$;;;;;;;;;;;x,,,,
EVTDESC96010;We have lost the war, and like vultures the victors have descended upon us. We have been forced to the bargaining table to accept humiliating terms regarding the breakup of our empire, with many of our lands simply given away, and we shall be permitted no overseas holdings whatsoever. This is a moment that shall be remembered in $COUNTRY$ for years to come.;;;;;;;;;;;;;x,
EVTNAME96004;The Demands of War;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;x,,,,
EVTDESC96004;The constant state of war $COUNTRY$ is under has taken its toll on our people. Shortages of basic goods and the failure to deliver swift victory have worn down the enthusiasm with which the $COUNTRY_ADJ$ people initially greeted the war effort. If things don't turn around soon, we could face growing weariness and unrest within our own borders.;;;;;;;;;;;;;x,,,
EVTOPTA96004;We will win this war!;Nous gagnerons la guerre!;Wir gewinnen den Krieg!;;;;;;;;;;;x,,,,
EVTNAME96005;Is It All For Nothing?;Est-il Tout Pour Rien?;Ist Alles Für Nichts?;;;;;;;;;;;x,,,,
EVTDESC96005;Growing demonstrations in $CAPITAL$ demonstrate the prevailing attitude of the $COUNTRY_ADJ$ people: get us out of the war, and soon. Too many have been lost, too many sacrifices made, and all for what? The people wish to go back to their regular lives, without the constant spectre of war hanging over their heads.;;;;;;;;;;;;;x
EVTOPTA96005;Do not lose hope!;Ne perdez pas l'espoir!;Verlieren Sie nicht Hoffnung!;;;;;;;;;;;x,,,,
EVTNAME96006;Total Collapse;Effondrement Total;Gesamteinsturz;;;;;;;;;;;x,,,,
EVTDESC96006;The war effort is not going well, to put it lightly. Advisors are saying that $COUNTRY$ should sue for peace, do whatever it takes to end this war before something even more terrible happens. The people are on the brink of revolt. We must act!;;;;;;;;;;;;;x,,
EVTOPTA96006;Disaster!;Désastre!;Unfall!;;;;;;;;;;;x,,,,
EVTOPTA96010;We welcome peace;La paix est bienvenue;Frieden ist willkommen;;;;;;;;;;;x,,,,
EVTNAME96013;The Breakup of $FROMCOUNTRY$;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;x,,,,
EVTDESC96013;$FROMCOUNTRY$ has been forced to concede defeat in its war, and we have been invited to the negotiating table to discuss the potential breakup of their empire. This could potentially mean we see $COUNTRY_ADJ$ lands returned to us, though if we forego our claims it could mean salvaging a relationship with $FROMCOUNTRY$.;;;;;;;;;;;;;x,,
EVTOPTA96013;We will attend the talks;Nous joindrons les entretiens;Wir gehen zu den Gesprächen;;;;;;;;;;;x,,,,
EVTOPTB96013;We will not attend;Nous n'irons pas;Wir gehen nicht;;;;;;;;;;;x,,,,
EVTNAME96014;The Breakup of $FROMCOUNTRY$;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;x,,,,
EVTDESC96014;$FROMCOUNTRY$ has been forced to concede defeat in its war, and now treaty talks have begun to discuss the breakup of their empire. As an enemy of $FROMCOUNTRY$, our place at the table is assured. At the very least, any $COUNTRY_ADJ$ lands currently in $FROMCOUNTRY_ADJ$ possession should be returned.;;;;;;;;;;;;;x,
EVTOPTA96014;We simply wish our lands back;Nous voulons nos terres;Wir wünschen unsere Länder;;;;;;;;;;;x,,,,
EVTNAME96015;$COUNTRY_ADJ$ Freedom;Liberté $COUNTRY_ADJ$;$COUNTRY_ADJ$ Freiheit;;;;;;;;;;;x,,,,
EVTDESC96015;The defeat of $FROMCOUNTRY$ in their war has forced them to the negotiating table, and one of the terms for the breakup of their empire is our release from their direct rule. This would mean casting out $FROMCOUNTRY_ADJ$ officials and potentially turning them into an enemy. We could maintain our close ties with $FROMCOUNTRY$ even with our freedom, though this would mean passing up a chance for freedom and goodwill from $FROMCOUNTRY$'s enemies.;;;;;;;;;;;;;x,,
EVTOPTA96015;$COUNTRY$ shall be free;$COUNTRY$ sera libre;$COUNTRY$ ist frei;;;;;;;;;;;x,,,,
EVTOPTB96015;$FROMCOUNTRY$ is our ally;$FROMCOUNTRY$ est notre allié;$FROMCOUNTRY$ ist unser Verbündetes;;;;;;;;;;;x,,,,
EVTNAME96016;The $FROMCOUNTRY_ADJ$ Colonies;Les Colonies $FROMCOUNTRY_ADJ$;Das $FROMCOUNTRY_ADJ$ Kolonien;;;;;;;;;;;x,,,,
EVTDESC96016;One of the matters discussed at the treaty talks is what to do with $FROMCOUNTRY$'s colonial holdings. They should not be allowed to keep these lands, but determinining how they should be disposed of is no simple matter. For now, agreement has been reached determining some of the territory, and any remaining will have to be negotiated over in the coming year.;;;;;;;;;;;;;x,
EVTOPTA96016;We will take what we can;Nous voulons autant que possible;Wir wünschen so viel wie möglich;;;;;;;;;;;x,,,,
EVTOPTB96016;Our only interest is limiting $FROMCOUNTRY_ADJ$ power;Nous voulons seulement;Wir wünschen nur wenig;;;;;;;;;;;x,,,,
EVTOPTC96016;We have no interest in their colonies;Nous ne voulons pas les colonies;Wir wünschen nicht die Kolonien;;;;;;;;;;;x,,,,
EVTDESC96017;One of the matters discussed at the treaty talks is what to do with $FROMCOUNTRY$'s colonial holdings. We are not a great power, and it's possible that even if pursue some of their colonies for our own we'll end up with nothing... but if we do not try, we'll end up with nothing for sure. Even so, making the attempt could be seen as aggressive.;;;;;;;;;;;;;x,
EVTNAME96020;The War is Over;La Guerre c'est Finie;Der Krieg ist Fertig;;;;;;;;;;;x,,,,
EVTDESC96020;With the war finished, the $COUNTRY_ADJ$ people have taken to the streets of $CAPITAL$ in celebration. The toll of the war has been heavy, but today $COUNTRY$ is simply happy to be at peace.;;;;;;;;;;;;;x,,
EVTOPTA96020;Long live $COUNTRY$!;Vive $COUNTRY$!;Lieben lang $COUNTRY$!;;;;;;;;;;;x,,,,
EVTDESC96022;$FROMCOUNTRY$ has been created from the ether, but the powers-that-be have determined at least some of their lands rightfully belong to $COUNTRY$ and should be returned to us. The $COUNTRY_ADJ$ people have rejoiced at this news.;;;;;;;;;;;;;x,,,
EVTNAME96025;Enemy of my Enemy;Ennemi de mon Ennemi;Feind meines Feindes;;;;;;;;;;;x,,,,
EVTDESC96025;Now that we are in a state of total war, the idea has arisen that $COUNTRY$ should approach $FROMCOUNTRY$'s enemies to see if there are those who would join our side against them. This may mean an unholy alliance with those who might never fight at our side otherwise, but as the old saying goes: 'The enemy of my enemy is my friend.' If we are to win the war against $FROMCOUNTRY$, we may have to take that to heart.;;;;;;;;;;;;;x,
EVTOPTA96025;Do it;Oui;Ja;;;;;;;;;;;x,,,,
EVTOPTB96025;We don't need more allies;Nous n'avons pas besoin de plus d'alliés;Wir benötigen nicht mehr Verbündete;;;;;;;;;;;x,,,,
EVTNAME96030;The Shadow of War;L'ombre de la Guerre;Der Schatten des Krieges;;;;;;;;;;;x,,,,
EVTDESC96030;A diplomat from $FROMCOUNTRY$ has approached us with a proposal: an alliance with them, to fight in a war against their enemy... who is certainly no friend of ours. While the alliance does not necessarily obligate us, the question really remains whether or not $COUNTRY$ even wishes to go to war. If we fight with $FROMCOUNTRY$, we stand the chance of gaining the spoils of war for ourselves. It also means we could fall with them. The choice is ours.;;;;;;;;;;;;;x,
EVTOPTA96030;We will ally with $FROMCOUNTRY$;Nous convenons;Wir stimmen zu;;;;;;;;;;;x,,,,
EVTOPTB96030;We refuse;Nous refusons;Wir lehnen ab;;;;;;;;;;;x,,,,
EVTNAME96031;$FROMCOUNTRY$ Has Agreed;$FROMCOUNTRY$ a Convenu;$FROMCOUNTRY$ hat Zugestimmt;;;;;;;;;;;x,,,,
EVTDESC96031;We have received word from $FROMCOUNTRY$ that they have agreed to an alliance. Whether or not they will actually live up to that alliance and join us in the war remains to be seen.;;;;;;;;;;;;;x,,,,
EVTOPTA96031;Great;Excellent;Ausgezeichnet;;;;;;;;;;;x,,,,
EVTNAME96065;Outrage!;;;;;;;;;;;x,,,,
EVTDESC96065;A diplomatic incident with one of our enemies has outraged $COUNTRY_ADJ$ citizens. Several weeks ago, an envoy assigned to $CAPITAL$ was accused of stealing national secrets. It turned out the truth was far worse, and an investigation has unearthed a conspiracy to destablize $COUNTRY$ and leave it week for invasion. This has leaked out to the public, and now crowds in the capital are calling for total war.;;;;;;;;;;;x,
EVTOPTA96065;We must defend $COUNTRY_ADJ$ interests, no matter the cost.;;;;;;;;;;;x,,,
EVTOPTB96065;We cannot afford such a war.;;;;;;;;;;;x,,,,
EVTNAME96066;Assassination!;;;;;;;;;;;x,,,,
EVTDESC96066;The assassination of a prominent $COUNTRY_ADJ$ citizen by a dissident has, after a thorough investigation, turned out to be at the instigation of an enemy power. This is but the latest in a string of incidents designed to destabilize $COUNTRY$. The results of the investigation have leaked to the public, and massive crowds gathered in the streets of $CAPITAL$ are now calling for total war.;;;;;;;;;;;x,
EVTNAME96070;The $COUNTRY_ADJ$ Colonies;Les Colonies $COUNTRY_ADJ$;Das $COUNTRY_ADJ$ Kolonien;;;;;;;;;;;x,,,,
EVTDESC96070;According to the peace treaty, our colonies and overseas territories must be surrendered. Negotiations are currently underway as to which nations they will be 'assigned' to. It appears our humiliation is not yet complete.;;;;;;;;;;;;;x,,,
EVTOPTA96070;Time to carve up our empire.;Nous n'avons aucun choix.;Wir haben keine Wahl.;;;;;;;;;;;x,,,,
EVTNAME96071;Transfer of the $FROMCOUNTRY_ADJ$ Colonies;Les Colonies $FROMCOUNTRY_ADJ$;Das $FROMCOUNTRY_ADJ$ Kolonien;;;;;;;;;;;x,,,,
EVTDESC96071;Negotiations are still underway as to which countries will obtain control over the remaining $FROMCOUNTRY_ADJ$ colonies and overseas territories.;;;;;;;;;;;;;x,,,,
EVTOPTA96071;We will accept control over the colony.;Nous acceptons.;Wir nehmen an.;;;;;;;;;;;x,,,,
EVTOPTB96071;We do not wish any more colonies.;Nous refusons.;Wir lehnen ab.;;;;;;;;;;;x,,,,
EVTDESC96081;An isolated $FROMCOUNTRY_ADJ$ territory has been offered to us. We should consider whether we wish to adminster it, as accessing the land may be difficult according to current borders. But, then again, do we truly wish $FROMCOUNTRY$ to keep it?;;;;;;;;;;;;;x,
EVTNAME96085;The New $COUNTRY_ADJ$ Government;Le Nouveau Gouvernement $COUNTRY_ADJ$;Die Neue $COUNTRY_ADJ$ Regierung;;;;;;;;;;;x,,,,
EVTDESC96085;As the armies of our former enemy depart $CAPITAL$, they leave behind a newly-installed democratic government friendly to their nation. How long this government will last is unknown, but many within $COUNTRY$ question whether 'freedom' imposed by a foreign power is truly that.;;;;;;;;;;;;;x,,
EVTOPTA96085;We welcome the new regime.;Nous faisons bon accueil au nouveau régime.;Wir begrüßen das neue Regime.;;;;;;;;;;;x,,,,
EVTDESC96086;As the armies of our former enemy leave $CAPITAL$, they leave behind a newly-installed fascist government friendly to their nation. How long this government will last is unknown, but many within $COUNTRY$ seem already determined to overthrow it in the name of freedom.;;;;;;;;;;;;;x,,
EVTDESC96087;As the armies of our former enemy leave $CAPITAL$, they leave behind a newly-installed communist government friendly to their nation. How long this government will last is unknown, but many within $COUNTRY$ seem already determined to overthrow it in the name of freedom.;;;;;;;;;;;;;x,,
EVTNAME96130;The Price of Infamy;Le Prix de l'Infamie;Der Preis der Niedertracht;;;;;;;;;;;x,,,,
EVTDESC96130;There are rumblings in the international community regarding $COUNTRY$'s warlike demeanor, and some are talking about the need for a united front to contain $COUNTRY_ADJ$ aggression. There are even efforts to stir up our own citizens against us. We will have to be careful in the future, lest we face not a single enemy but that of the world's great powers united against us.;;;;;;;;;;;;;x,,
EVTOPTA96130;Just let them try it!;Laissez-les Venir!;Lassen Sie Kommen!;;;;;;;;;;;x,,,,
EVTNAME96131;An Ease in Tensions;Un Amoindrissement des Tensions;Eine Verminderung von Spannungen;;;;;;;;;;;x,,,,
EVTDESC96131;The world's great powers have taken note of $COUNTRY$'s efforts to change our aggressive ways. Some are making overtures to improve relations, and their diplomats are expressing hope that $COUNTRY$ will continue to deal with other countries in a civilized manner.;;;;;;;;;;;;;x,,,
EVTOPTA96131;Thanks for the vote of confidence.;Merci pour le vote de confiance.;Dank für die Vertrauensabstimmung.;;;;;;;;;;;x,,,,
EVTNAME96136;The $FROMCOUNTRY_ADJ$ Ultimatum;$FROMCOUNTRY_ADJ$ Ultimatum;Das $FROMCOUNTRY_ADJ$ Ultimatum;;;;;;;;;;;x,,,,
EVTDESC96136;$FROMCOUNTRY_ADJ$ diplomats have approached our nation with an ultimatum: dimantle $COUNTRY$ immediately, or the great powers of the world will be forced to unite against us. Their demands consist of the following:\n\n1. The return of all unlawfully-held territories gained by conquest.\n2. The release of any aspirant peoples currently within our lands.\n3. The transfer of all colonies and overseas territories to the other great powers.\n4. An agreement by $COUNTRY$ not to declare war on any other nation for a period of no less than ten years.\n\nIt goes without saying that these demands are extremely humiliating, and the $COUNTRY_ADJ$ people would be justifiably upset should we agree. If we do not, however, $COUNTRY$ will face a great war which even we may not be able to deal with.;;;;;;;;;;;;;x
EVTOPTA96136;Never!;Nous refusons!;Wir lehnen ab!;;;;;;;;;;;x,,,,
EVTOPTB96136;We have no choice but to accept.;Nous acceptons.;Wir nehmen an.;;;;;;;;;;;x,,,,
EVTNAME96141;$FROMCOUNTRY$ Joins the War;$FROMCOUNTRY$ Déclare la Guerre;$FROMCOUNTRY$ Erklärt Krieg;;;;;;;;;;;x,,,,
EVTDESC96141;We have received a cable from $FROMCOUNTRY$: they have declared war upon us, and will pursue the war until such a time as $COUNTRY$ is disarmed and submitted to the will of the international community.;;;;;;;;;;;;;x,,,
EVTOPTA96141;We shall see about that.;Je doute de lui.;Ich bezweifele es.;;;;;;;;;;;x,,,,
EVTNAME96150;$COUNTRY$ Stands Triumphant;$COUNTRY$ est Triomphante;$COUNTRY$ ist Triumphierend;;;;;;;;;;;x,,,,
EVTDESC96150;We have proven that no nation can stand in $COUNTRY$'s way. We will do as we please, and no amount of objection from the so-called great powers of the world will deter us from achieving our destiny. For now there is peace, and if other nations seek to stop us from achieving our future goals, they are welcome to try.;;;;;;;;;;;;;x,
EVTOPTA96150;Excellent!;Excellent!;Ausgezeichnet!;;;;;;;;;;;x,,,,
