;;;;;;;;;;;;;x,,;;;;
gtfo_BRD_title;Remove Burundi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BRD_desc;We've had a good run, but it's time to end our relationship with Burundi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BSH_title;Remove Basotho From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BSH_desc;We've had a good run, but it's time to end our relationship with Basotho: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BUG_title;Remove Buganda From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BUG_desc;We've had a good run, but it's time to end our relationship with Buganda: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CLA_title;Remove Calabar From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CLA_desc;We've had a good run, but it's time to end our relationship with Calabar: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CYR_title;Remove Cyrenaica From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CYR_desc;We've had a good run, but it's time to end our relationship with Cyrenaica: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DAH_title;Remove Dahomey From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DAH_desc;We've had a good run, but it's time to end our relationship with Dahomey: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DAM_title;Remove Damagaram From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DAM_desc;We've had a good run, but it's time to end our relationship with Damagaram: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DAR_title;Remove Darfur From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DAR_desc;We've had a good run, but it's time to end our relationship with Darfur: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DND_title;Remove Dendi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DND_desc;We've had a good run, but it's time to end our relationship with Dendi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ERT_title;Remove Eritrea From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ERT_desc;We've had a good run, but it's time to end our relationship with Eritrea: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GBU_title;Remove Gabu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GBU_desc;We've had a good run, but it's time to end our relationship with Gabu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AJU_title;Remove Geledi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AJU_desc;We've had a good run, but it's time to end our relationship with Geledi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_JAL_title;Remove Fuuta Jallon From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_JAL_desc;We've had a good run, but it's time to end our relationship with Fuuta Jallon: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KBO_title;Remove Kanem-Bornu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KBO_desc;We've had a good run, but it's time to end our relationship with Kanem-Bornu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KNG_title;Remove Wattara From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KNG_desc;We've had a good run, but it's time to end our relationship with Wattara: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KON_title;Remove Kongo From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KON_desc;We've had a good run, but it's time to end our relationship with Kongo: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KUB_title;Remove Kuba From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KUB_desc;We've had a good run, but it's time to end our relationship with Kuba: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KZB_title;Remove Kazembe From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KZB_desc;We've had a good run, but it's time to end our relationship with Kazembe: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LBA_title;Remove Luba From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LBA_desc;We've had a good run, but it's time to end our relationship with Luba: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LBY_title;Remove Libya From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LBY_desc;We've had a good run, but it's time to end our relationship with Libya: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LOA_title;Remove Loango From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LOA_desc;We've had a good run, but it's time to end our relationship with Loango: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LUN_title;Remove Lunda From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LUN_desc;We've had a good run, but it's time to end our relationship with Lunda: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MAJ_title;Remove Majeerteen From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MAJ_desc;We've had a good run, but it's time to end our relationship with Majeerteen: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MAS_title;Remove Massina From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MAS_desc;We've had a good run, but it's time to end our relationship with Massina: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MAT_title;Remove Matabele From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MAT_desc;We've had a good run, but it's time to end our relationship with Matabele: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MLI_title;Remove Mali From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MLI_desc;We've had a good run, but it's time to end our relationship with Mali: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MNG_title;Remove Mongo From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MNG_desc;We've had a good run, but it's time to end our relationship with Mongo: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MOS_title;Remove Mossi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MOS_desc;We've had a good run, but it's time to end our relationship with Mossi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MOZ_title;Remove Mozambique From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MOZ_desc;We've had a good run, but it's time to end our relationship with Mozambique: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_OYO_title;Remove Oyo From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_OYO_desc;We've had a good run, but it's time to end our relationship with Oyo: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_RWA_title;Remove Rwanda From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_RWA_desc;We've had a good run, but it's time to end our relationship with Rwanda: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SEG_title;Remove Segu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SEG_desc;We've had a good run, but it's time to end our relationship with Segu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SHO_title;Remove Shona From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SHO_desc;We've had a good run, but it's time to end our relationship with Shona: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SHW_title;Remove Shewa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SHW_desc;We've had a good run, but it's time to end our relationship with Shewa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SOM_title;Remove Somaliland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SOM_desc;We've had a good run, but it's time to end our relationship with Somaliland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SUA_title;Remove Suazi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SUA_desc;We've had a good run, but it's time to end our relationship with Suazi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SUD_title;Remove Sudan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SUD_desc;We've had a good run, but it's time to end our relationship with Sudan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TOO_title;Remove Fouta Tooro From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TOO_desc;We've had a good run, but it's time to end our relationship with Fouta Tooro: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TOU_title;Remove Toucouleur Empire From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TOU_desc;We've had a good run, but it's time to end our relationship with Toucouleur Empire: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TSW_title;Remove Botswana From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TSW_desc;We've had a good run, but it's time to end our relationship with Botswana: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_WAD_title;Remove Wadai From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WAD_desc;We've had a good run, but it's time to end our relationship with Wadai: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_WRI_title;Remove Warri From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WRI_desc;We've had a good run, but it's time to end our relationship with Warri: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_WOL_title;Remove Wolof From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WOL_desc;We've had a good run, but it's time to end our relationship with Wolof: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_XHO_title;Remove Xhosa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_XHO_desc;We've had a good run, but it's time to end our relationship with Xhosa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AIN_title;Remove Ainu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AIN_desc;We've had a good run, but it's time to end our relationship with Ainu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BIM_title;Remove Bima From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BIM_desc;We've had a good run, but it's time to end our relationship with Bima: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DJA_title;Remove Jambi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DJA_desc;We've had a good run, but it's time to end our relationship with Jambi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_FJN_title;Remove Fujian From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_FJN_desc;We've had a good run, but it's time to end our relationship with Fujian: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GMJ_title;Remove Guominjun From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GMJ_desc;We've had a good run, but it's time to end our relationship with Guominjun: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_GNG_title;Remove Guangdong From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_GNG_desc;We've had a good run, but it's time to end our relationship with Guangdong: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HNN_title;Remove Hunan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HNN_desc;We've had a good run, but it's time to end our relationship with Hunan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HUI_title;Remove Anhui From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HUI_desc;We've had a good run, but it's time to end our relationship with Anhui: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_INO_title;Remove Indonesia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_INO_desc;We've had a good run, but it's time to end our relationship with Indonesia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KCH_title;Remove Kachin From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KCH_desc;We've had a good run, but it's time to end our relationship with Kachin: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KLM_title;Remove Kalimantan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KLM_desc;We've had a good run, but it's time to end our relationship with Kalimantan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KMT_title;Remove Nationalist China From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KMT_desc;We've had a good run, but it's time to end our relationship with Nationalist China: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KTI_title;Remove Kutai From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KTI_desc;We've had a good run, but it's time to end our relationship with Kutai: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LAN_title;Remove Lanfang From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LAN_desc;We've had a good run, but it's time to end our relationship with Lanfang: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MAL_title;Remove the Mossi Empire From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MAL_desc;We've had a good run, but it's time to end our relationship with the Mossi Empire: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_RYU_title;Remove Ryukyu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_RYU_desc;We've had a good run, but it's time to end our relationship with Ryukyu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SHA_title;Remove Shan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SHA_desc;We've had a good run, but it's time to end our relationship with Shan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SLW_title;Remove Sulawesi From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SLW_desc;We've had a good run, but it's time to end our relationship with Sulawesi: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SAK_title;Remove Siak From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SAK_desc;We've had a good run, but it's time to end our relationship with Siak: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SUL_title;Remove Sulu From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SUL_desc;We've had a good run, but it's time to end our relationship with Sulu: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SWK_title;Remove Sarawak From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SWK_desc;We've had a good run, but it's time to end our relationship with Sarawak: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SZC_title;Remove Sichuan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SZC_desc;We've had a good run, but it's time to end our relationship with Sichuan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TPG_title;Remove Heavenly Kingdom From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TPG_desc;We've had a good run, but it's time to end our relationship with Heavenly Kingdom: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_AOT_title;Remove Aotearoa From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_AOT_desc;We've had a good run, but it's time to end our relationship with Aotearoa: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_FIJ_title;Remove Fiji From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_FIJ_desc;We've had a good run, but it's time to end our relationship with Fiji: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SNZ_title;Remove New Munster From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SNZ_desc;We've had a good run, but it's time to end our relationship with New Munster: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TGA_title;Remove Tonga From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TGA_desc;We've had a good run, but it's time to end our relationship with Tonga: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DEN_title;Remove Denmark From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DEN_desc;We've had a good run, but it's time to end our relationship with Denmark: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_FIN_title;Remove Finland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_FIN_desc;We've had a good run, but it's time to end our relationship with Finland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NOR_title;Remove Norway From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NOR_desc;We've had a good run, but it's time to end our relationship with Norway: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SCA_title;Remove Scandinavia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SCA_desc;We've had a good run, but it's time to end our relationship with Scandinavia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SWE_title;Remove Sweden From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SWE_desc;We've had a good run, but it's time to end our relationship with Sweden: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BEL_title;Remove Belgium From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BEL_desc;We've had a good run, but it's time to end our relationship with Belgium: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CAT_title;Remove Catalonia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CAT_desc;We've had a good run, but it's time to end our relationship with Catalonia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_FLA_title;Remove Flanders From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_FLA_desc;We've had a good run, but it's time to end our relationship with Flanders: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_IRE_title;Remove Ireland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_IRE_desc;We've had a good run, but it's time to end our relationship with Ireland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NET_title;Remove Netherlands From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NET_desc;We've had a good run, but it's time to end our relationship with Netherlands: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_POR_title;Remove Portugal From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_POR_desc;We've had a good run, but it's time to end our relationship with Portugal: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SCO_title;Remove Scotland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SCO_desc;We've had a good run, but it's time to end our relationship with Scotland: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_WLL_title;Remove Wallonia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WLL_desc;We've had a good run, but it's time to end our relationship with Wallonia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_ANH_title;Remove Anhalt From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_ANH_desc;We've had a good run, but it's time to end our relationship with Anhalt: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BAD_title;Remove Baden From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BAD_desc;We've had a good run, but it's time to end our relationship with Baden: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BAV_title;Remove Bavaria From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BAV_desc;We've had a good run, but it's time to end our relationship with Bavaria: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BRA_title;Remove BRA From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BRA_desc;We've had a good run, but it's time to end our relationship with BRA: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BRE_title;Remove Bremen From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BRE_desc;We've had a good run, but it's time to end our relationship with Bremen: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_COB_title;Remove Saxe-Coburg-Gotha From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_COB_desc;We've had a good run, but it's time to end our relationship with Saxe-Coburg-Gotha: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_DZG_title;Remove Danzig From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_DZG_desc;We've had a good run, but it's time to end our relationship with Danzig: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_FRM_title;Remove Frankfurt am Main From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_FRM_desc;We've had a good run, but it's time to end our relationship with Frankfurt am Main: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HAM_title;Remove Hamburg From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HAM_desc;We've had a good run, but it's time to end our relationship with Hamburg: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HAN_title;Remove Hanover From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HAN_desc;We've had a good run, but it's time to end our relationship with Hanover: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HES_title;Remove Hesse-Darmstadt From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HES_desc;We've had a good run, but it's time to end our relationship with Hesse-Darmstadt: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HEK_title;Remove Hesse-Kassel From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HEK_desc;We've had a good run, but it's time to end our relationship with Hesse-Kassel: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_HOL_title;Remove Holstein From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_HOL_desc;We've had a good run, but it's time to end our relationship with Holstein: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LIP_title;Remove Lippe-Detmold From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LIP_desc;We've had a good run, but it's time to end our relationship with Lippe-Detmold: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LUB_title;Remove Lübeck From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LUB_desc;We've had a good run, but it's time to end our relationship with Lübeck: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LUX_title;Remove Luxemburg From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LUX_desc;We've had a good run, but it's time to end our relationship with Luxemburg: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MEC_title;Remove Mecklenburg From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MEC_desc;We've had a good run, but it's time to end our relationship with Mecklenburg: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MEI_title;Remove Saxe-Meiningen From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MEI_desc;We've had a good run, but it's time to end our relationship with Saxe-Meiningen: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NAS_title;Remove Hesse-Nassau From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NAS_desc;We've had a good run, but it's time to end our relationship with Hesse-Nassau: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_NGF_title;Remove the League of Berlin From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_NGF_desc;We've had a good run, but it's time to end our relationship with the League of Berlin: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_OLD_title;Remove Oldenburg From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_OLD_desc;We've had a good run, but it's time to end our relationship with Oldenburg: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SAX_title;Remove Saxony From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SAX_desc;We've had a good run, but it's time to end our relationship with Saxony: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SCH_title;Remove Schleswig From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SCH_desc;We've had a good run, but it's time to end our relationship with Schleswig: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SGF_title;Remove the Danubian Confederation From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SGF_desc;We've had a good run, but it's time to end our relationship with the Danubian Confederation: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_WEI_title;Remove Saxe-Weimar From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WEI_desc;We've had a good run, but it's time to end our relationship with Saxe-Weimar: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_WUR_title;Remove Württemberg From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_WUR_desc;We've had a good run, but it's time to end our relationship with Württemberg: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LOM_title;Remove Milan From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LOM_desc;We've had a good run, but it's time to end our relationship with Milan: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_LUC_title;Remove Lucca From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_LUC_desc;We've had a good run, but it's time to end our relationship with Lucca: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_MOD_title;Remove Modena From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_MOD_desc;We've had a good run, but it's time to end our relationship with Modena: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PAP_title;Remove Papal States From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PAP_desc;We've had a good run, but it's time to end our relationship with Papal States: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_PAR_title;Remove Parma From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_PAR_desc;We've had a good run, but it's time to end our relationship with Parma: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SAR_title;Remove Savoy From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SAR_desc;We've had a good run, but it's time to end our relationship with Savoy: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_SIC_title;Remove Two Sicilies From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_SIC_desc;We've had a good run, but it's time to end our relationship with Two Sicilies: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TRE_title;Remove Trieste From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TRE_desc;We've had a good run, but it's time to end our relationship with Trieste: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_TUS_title;Remove Etruria From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_TUS_desc;We've had a good run, but it's time to end our relationship with Etruria: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_VEN_title;Remove Venice From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_VEN_desc;We've had a good run, but it's time to end our relationship with Venice: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_BOH_title;Remove Bohemia-Moravia From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_BOH_desc;We've had a good run, but it's time to end our relationship with Bohemia-Moravia: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_KRA_title;Remove Krakow From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_KRA_desc;We've had a good run, but it's time to end our relationship with Krakow: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_CRI_title;Remove Crimea From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
gtfo_CRI_desc;We've had a good run, but it's time to end our relationship with Crimea: if you love something, let it go!;;;;;;;;;;;;x;;;;
gtfo_EST_title;Remove Estland From Our Sphere of Influence;;;;;;;;;;;;x,,;;;;
