;;;;;;;;;;;;;x,,,,,,,,
EVTDESC36961_NEWS_MEDIUM;$COUNTRY$与$FROMCOUNTRY$刚刚签署了黄金海岸条约，$COUNTRY$已放弃插手印度尼西亚，而$FROMCOUNTRY$则同意将塞康第让给$COUNTRY$。;;;;;;;;;;;;x,,,,,,,
EVTDESC36961_NEWS_SHORT;$COUNTRY$已放弃插手印度尼西亚，而$FROMCOUNTRY$则同意将塞康第让给$COUNTRY$。;;;;;;;;;;;;x,,,,,,,
EVTDESC36966_NEWS_LONG;$COUNTRY$在很久以前便宣告奴隶贩卖是非法的，而在非洲许多国家依旧存在奴隶贩卖，特别是沿海城市拉各斯，已经成了奴隶贩卖生意的天堂，这里不顾任何具有正义性的约定，把当地土著人贩向交易市场。$COUNTRY$近期派出舰船解放拉各斯的土著人，建立殖民地，在这里，他们可以被文明地对待，比原政府的压迫好得多，他们觉得，这只是$COUNTRY$征服当地的第一步。;;;;;;;;;;;;x,,,,
EVTDESC36966_NEWS_MEDIUM;$COUNTRY$近期派出舰船解放拉各斯的土著人，建立殖民地，在这里，土著人可以被文明地对待，比原政府的压迫好得多，他们觉得，这只是$COUNTRY$征服当地的第一步。;;;;;;;;;;;;x,,,,,,
EVTDESC36966_NEWS_SHORT;$COUNTRY$近期派出舰船，要将拉各斯的土著人从奴隶贩卖中解救出来，同时建立殖民地，在这里，土著人可以被文明地对待。;;;;;;;;;;;;x,,,,,,,
EVTNAME37711_NEWS_TITLE;卡洛斯战争;;;;;;;;;;;;x,,,,,,,,
EVTDESC37711_NEWS_LONG;1833年，西班牙国王斐迪南七世病逝，他的长女，当时只有三岁的伊莉莎白二世继承皇位。最近，斐迪南七世的弟弟唐·卡洛斯亲王发动了反叛，他意欲废黜伊莎贝拉二世的统治，并建立一个波旁王朝的独立分支，同时恢复西班牙帝国的昔日荣光，即便许多自由主义者认为这很难做到。;;;;;;;;;;;;x,,,,,,
EVTDESC37711_NEWS_MEDIUM;1833年，西班牙国王斐迪南七世病逝，他的长女，当时只有三岁的伊莎贝拉二世继承皇位。最近，斐迪南七世的弟弟唐·卡洛斯亲王发动了反叛，他意欲废黜伊莎贝拉二世的统治，并恢复西班牙帝国的昔日荣光。;;;;;;;;;;;;x,,,,,,,
EVTDESC37711_NEWS_SHORT;1833年，西班牙国王斐迪南七世病逝，他的长女，当时只有三岁的伊莎贝拉二世继承皇位。最近，斐迪南七世的弟弟唐·卡洛斯亲王发动了反叛。;;;;;;;;;;;;x,,,,,,,,
EVTDESC37713_NEWS_LONG;大家都以为唐·卡洛斯亲王的拥护者及其后代在西班牙被彻底击溃，但是，有消息称一个新的政治运动组织核心已经成立。坊间盛传，当前觊觎皇位者的拥护势力正在大肆征兵，意图推翻西班牙政府。将他们逐出国境绝非易事。;;;;;;;;;;;;x,,,,,,,
EVTDESC37713_NEWS_MEDIUM;大家都以为唐·卡洛斯亲王的拥护者及其后代在西班牙被彻底击溃，但是，有消息称一个新的政治运动组织核心已经成立。当前觊觎皇位者的拥护势力正在大肆征兵，意图推翻西班牙政府。;;;;;;;;;;;;x,,,,,,,
EVTDESC37713_NEWS_SHORT;大家都以为唐·卡洛斯亲王的拥护者及其后代在西班牙被彻底击溃，但是，有消息称一场新的反叛组织已经成立。;;;;;;;;;;;;x,,,,,,,
EVTDESC37717_NEWS_LONG;西班牙前皇室的支持者依旧存在，如今，有消息称克里斯蒂娜的政治力量已经成立。他们得到了觊觎皇位者的大力支持。据说，这股政治势力隐藏得十分严密，很难将他们彻底肃清。;;;;;;;;;;;;x,,,,,,
EVTDESC37717_NEWS_MEDIUM;西班牙前皇室的支持者依旧存在，如今，有消息称克里斯蒂娜的政治力量已经成立。他们得到了觊觎皇位者的大力支持。;;;;;;;;;;;;x,,,,,,,
EVTDESC37717_NEWS_SHORT;有消息称克里斯蒂娜的政治力量获得了西班牙的自由主义者的支持，他们觊觎皇位，歧途推翻当前政权。;;;;;;;;;;;;x,,,,,,,,
EVTDESC37720_NEWS_LONG;加的斯海军军官的兵变，引起了更广泛的反叛，他们均将矛头指向西班牙伊莎贝拉二世的统治。她的诸多大臣与将军已经抛弃了她，伊莎贝拉二世不得不逃亡。目前，西拔牙处于无政府状态，临时政府正在讨论着西班牙未来的治国方案。有些人彻底反对君主体制，但是多数人认为应当从以下三个人中选出一位作为君主，他们是：伊莎贝拉二世之子阿方索十二世，温和派的霍亨索伦的利奥波德亲王，或自由主义的萨伏依的王子阿马德奥一世。;;;;;;;;;;;;x,
EVTDESC37720_NEWS_MEDIUM;加的斯海军军官的兵变，引起了更广泛的反叛，他们均将矛头指向西班牙伊莎贝拉二世的统治。她的诸多大臣与将军已经抛弃了她，伊莎贝拉二世不得不逃亡。临时政府正在讨论着西班牙未来的治国方案。;;;;;;;;;;;;x,,,,,,,
EVTDESC37720_NEWS_SHORT;加的斯海军军官的兵变，引起了更广泛的反叛，他们均将矛头指向西班牙伊莎贝拉二世的统治。伊莎贝拉二世不得不逃亡。临时政府正在讨论着西班牙未来的治国方案。;;;;;;;;;;;;x,,,,,,,
EVTDESC37725_NEWS_LONG;霍亨索伦的利奥波德亲王自从其登上皇位后便饱受争议，不断被那些宫廷内打算恢复波旁王朝对西班牙的统治的君主制主义者掣肘。他在抵达马德里后不久的一次出游中，在马车中遇刺身亡。西班牙再次陷入无君主统治的混乱之中。;;;;;;;;;;;;x,,,,,,
EVTDESC37725_NEWS_MEDIUM;霍亨索伦的利奥波德亲王自从其登上皇位后便饱受争议，不断遇到宫廷的掣肘。他在抵达马德里后不久的一次出游中，在马车中遇刺身亡。西班牙再次陷入无君主统治的混乱之中。;;;;;;;;;;;;x,,,,,,
EVTDESC37725_NEWS_SHORT;霍亨索伦的利奥波德亲王自从其登上皇位后便饱受争议。他在抵达马德里后遇刺身亡。西班牙再次陷入无君主统治的混乱之中。;;;;;;;;;;;;x,,,,,,
EVTDESC37730_NEWS_LONG;阿马德奥一世自从其登上皇位后便饱受争议，不断被那些宫廷内打算恢复波旁王朝对西班牙的统治的君主制主义者掣肘。他盛怒之下公开宣布希达果事件之后的西班牙是个不服管教的地方，这迫使他陷入与当地军队的冲突致中，最终逊位离开。西班牙再次陷入无君主统治的混乱之中。;;;;;;;;;;;;x,,,,,,
EVTDESC37730_NEWS_MEDIUM;阿马德奥一世自从其登上皇位后便饱受争议，不断受到宫廷掣肘。他盛怒之下公开宣布西班牙是个不服管教的地方并最终决定逊位。西班牙再次陷入无君主统治的混乱之中。;;;;;;;;;;;;x,,,,,,
EVTDESC37730_NEWS_SHORT;阿马德奥一世自从其登上皇位后便饱受争议，不断受到宫廷掣肘。他盛怒之下公开宣布西班牙是个不服管教的地方并最终决定逊位。;;;;;;;;;;;;x,,,,,,
EVTDESC37735_NEWS_MEDIUM;经历了长期动荡的西班牙人最终选择了向波旁王朝回归。在一次政变后，保王派推翻第一共和国政府，宣布拥立流亡在外的伊莎贝拉二世之子阿方索十二世为西班牙国王。;;;;;;;;;;;;x,,,,,,
EVTDESC37735_NEWS_SHORT;保王派推翻第一共和国政府，宣布拥立流亡在外的伊莎贝拉二世之子阿方索十二世为西班牙国王。;;;;;;;;;;;;x,,,,,,,,
EVTDESC37741_NEWS_LONG;$COUNTRY$和$FROMCOUNTRY$已在巴黎共同订立了条约。该条约约定，作为停战的代价，$FROMCOUNTRY$将辖下的太平洋与加勒比海区域让渡给$COUNTRY$。对多数人来说，这昭示了$FROMCOUNTRY$不再是殖民国家，而美洲迎来了新的殖民者。;;;;;;;;;;;;x,,,,,,
EVTDESC37741_NEWS_MEDIUM;$COUNTRY$和$FROMCOUNTRY$已在巴黎共同订立了条约。该条约约定，作为停战的代价，$FROMCOUNTRY$将辖下的太平洋与加勒比海区域让渡给$COUNTRY$。;;;;;;;;;;;;x,,,,,,,
EVTDESC37741_NEWS_SHORT;$COUNTRY$和$FROMCOUNTRY$已在巴黎共同订立了条约。该条约约定，$FROMCOUNTRY$将辖下的太平洋与加勒比海区域让渡给$COUNTRY$。;;;;;;;;;;;;x,,,,,,,
EVTDESC38505_NEWS_LONG;阿曼苏丹赛义德·伊本·苏尔坦死后，他的两个儿子均称自己是阿曼的合法继承人。苏丹之争招致外国势力的调停，最终，阿曼正式分裂为桑给巴尔和马斯喀特，两个儿子分而治之。;;;;;;;;;;;;x,,,,,
EVTDESC38505_NEWS_MEDIUM;阿曼苏丹赛义德·伊本·苏尔坦死后，他的两个儿子均称自己是阿曼的合法继承人。最终，阿曼正式分裂为桑给巴尔和马斯喀特，两个儿子分而治之。;;;;;;;;;;;;x,,,,,,
EVTDESC38505_NEWS_SHORT;阿曼苏丹死后，他的两个儿子均称自己是阿曼的合法继承人。最终，阿曼正式分裂为桑给巴尔和马斯喀特。;;;;;;;;;;;;x,,,,,,,,
EVTDESC44122_NEWS_LONG;$COUNTRY$已经和$FROMCOUNTRY$订立了条约，该条约解决了两国长期以来的国境纷争。尤其重要的是，该条约明确了缅因州和$FROMCOUNTRY_ADJ$殖民地新不伦瑞克的界线。;;;;;;;;;;;;x,,,,,,
EVTDESC44122_NEWS_MEDIUM;$COUNTRY$已经和$FROMCOUNTRY$订立了条约，该条约解决了两国长期以来的国境纷争。尤其重要的是，该条约明确了缅因州和$FROMCOUNTRY_ADJ$殖民地新不伦瑞克的界线。;;;;;;;;;;;;x,,,,,,
EVTDESC44122_NEWS_SHORT;$COUNTRY$已经和$FROMCOUNTRY$订立了条约，该条约明确了缅因州和$FROMCOUNTRY_ADJ$殖民地新不伦瑞克的界线。;;;;;;;;;;;;x,,,,,,,
EVTDESC44152_NEWS_LONG;英美之间经过多轮谈判终于推动俄勒冈问题解决，不列颠做出让步：以四十九度线为界划分土地。双方将已占领的对方辖下土地予以归还。尽管一些美国人对此表示沮丧，认为这是将自己的权益拱手让给不列颠，但是大多数其他人也因避免了战争而松了口气。;;;;;;;;;;;;x,,,,,
EVTDESC44152_NEWS_MEDIUM;英美之间经过多轮谈判终于推动俄勒冈问题解决，最终以四十九度线为界划分土地。一些美国人对此表示沮丧，认为这是将自己的权益拱手让给不列颠，但多数人却如释重负。;;;;;;;;;;;;x,,,,,,
EVTDESC44152_NEWS_SHORT;英美之间经过多轮谈判终于推动俄勒冈问题解决，不列颠做出让步：以四十九度线为界划分土地。;;;;;;;;;;;;x,,,,,,,
EVTDESC44153_NEWS_LONG;英美之间关于俄勒冈问题的谈判未能达成共识，主要原因是主战派的掮客持续奔走呼号。如今，摆在美国人面前的选择都不怎么令人乐观：要么他们从此彻底放弃俄勒冈，要么坚持己见准备和不列颠决战。;;;;;;;;;;;;x,,,,,,
EVTDESC44153_NEWS_MEDIUM;英美之间关于俄勒冈问题的谈判未能达成共识。如今，摆在美国人面前的选择都不怎么令人乐观：要么他们从此彻底放弃俄勒冈，要么坚持己见准备和不列颠决战。;;;;;;;;;;;;x,,,,,,,
EVTDESC44153_NEWS_SHORT;英美之间关于俄勒冈问题的谈判未能达成共识。如今，美国人要么放弃俄勒冈，要么准备和不列颠决战。;;;;;;;;;;;;x,,,,,,,,
EVTDESC44154_NEWS_LONG;由于美国人和英国人开始向北美洲西海岸开拓，对俄勒冈的统治权越发成为矛盾焦点。两国对该地区都有过开发，且均是合法的。近期，这种情况开始加剧，美国人开始争取他们北至五十四度线的权益。如果不列颠认为这片殖民地值得争取，并且绝不会选择对美国让步，那么这完全意味着战争将至。;;;;;;;;;;;;x,,,,,,
EVTDESC44154_NEWS_MEDIUM;对俄勒冈的统治权越发成为英美间的矛盾焦点。近期，这种情况开始加剧，美国人开始争取他们北至五十四度线的权益。这完全意味着战争将至。;;;;;;;;;;;;x,,,,,,,
EVTDESC44154_NEWS_SHORT;对俄勒冈的统治权越发成为英美间的矛盾焦点，美国人开始争取他们北至五十四度线的权益。;;;;;;;;;;;;x,,,,,,,
EVTDESC44302_NEWS_LONG;加拿大政府宣称他们尊重梅蒂人的合法权益，但实际并非如此。梅蒂人关于拥有土地所有权及信仰方面的诉求并未被正视。而且，梅蒂人对越来越多的外来开拓者表示出与日俱增的不安，他们侵占了自己的土地。这个问题在$YEAR$早期达到顶峰，当时，梅蒂人曾拿起武器进行抗争。按照革命权利法案，梅蒂人建立了自治政府并从加拿大独立出来。;;;;;;;;;;;;x,,,,
EVTDESC44302_NEWS_MEDIUM;加拿大政府宣称他们尊重梅蒂人的合法权益，但实际并非如此。这个问题在$YEAR$早期达到顶峰，当时，梅蒂人曾拿起武器进行抗争。梅蒂人建立了自治政府并从加拿大独立出来。;;;;;;;;;;;;x,,,,,,
EVTDESC44302_NEWS_SHORT;在$YEAR$早期，这个情况达到顶峰，当时，梅蒂人曾拿起武器进行抗争。梅蒂人建立了自治政府并从加拿大独立出来。;;;;;;;;;;;;x,,,,,,,
EVTNAME44305_NEWS_TITLE;$YEAR$加拿大叛乱;;;;;;;;;;;;x,,,,,,,,
EVTDESC44305_NEWS_LONG;似乎是受到美国独立战争的启发，上加拿大和下加拿大的殖民地居民纷纷起义抵抗不列颠政府。由于缺乏政治改革，根深蒂固的精英阶层“家族盟约”的观念，以及同意接受责任政府制而不争取完全独立，他们最终失败了。殖民政府开始以叛国罪大肆逮捕革命者。;;;;;;;;;;;;x,,,,,
EVTDESC44305_NEWS_MEDIUM;似乎是受到美国独立战争的启发，上加拿大和下加拿大的殖民地居民纷纷起义抵抗不列颠政府。殖民政府开始以叛国罪大肆逮捕革命者。;;;;;;;;;;;;x,,,,,,,
EVTDESC44305_NEWS_SHORT;似乎是受到美国独立战争的启发，上加拿大和下加拿大的殖民地居民纷纷起义抵抗不列颠政府。;;;;;;;;;;;;x,,,,,,,
EVTDESC44310_NEWS_LONG;北美洲沿海殖民地官员的聚会也吸引了加拿大官员。据报道，他们试图组建一个更大的殖民地邦联，目的是永久自治政府。不列颠政府希望其在北美洲的殖民地能够更具有自主性，所以，他考虑的是批准这种联合治理方案是否有利于其最大利益。;;;;;;;;;;;;x,,,,,,
EVTDESC44310_NEWS_MEDIUM;北美洲沿海殖民地官员的聚会也吸引了加拿大官员。据报道，他们试图组建一个更大的殖民地邦联，目的是永久自治政府。;;;;;;;;;;;;x,,,,,,,
EVTDESC44310_NEWS_SHORT;来自沿海地区和加拿大殖民地的官员齐聚一堂，试图组建一个更大的殖民地邦联，目的是永久自治政府。;;;;;;;;;;;;x,,,,,,,
EVTNAME44320_NEWS_TITLE;鲁珀特土地法”;;;;;;;;;;;;x,,,,,,,,
EVTDESC44320_NEWS_LONG;英国议会已经通过了一条法案，该法案将明确同意把整个鲁珀特地区划入加拿大治域，鲁珀特地区包括英属哥伦比亚和安大略湖间的全部北美洲殖民地领地。目前，这片土地由哈德逊湾公司管理，因此，加拿大政府将出资购买此地。如果加拿大这样做，将大大增强加拿大的势力，同时减轻不列颠因过分扩张殖民地而引发的诸多财务管理问题。;;;;;;;;;;;;x,,,,,,
EVTDESC44320_NEWS_MEDIUM;英国议会已经通过了一条法案，该法案将明确同意把整个鲁珀特地区划入加拿大治域，鲁珀特地区包括全部北美洲殖民地领地。如果加拿大这样做，将大大增强加拿大的势力，同时减轻不列颠因过分扩张殖民地而引发的诸多财务管理问题。;;;;;;;;;;;;x,,,,,,,,
EVTDESC44320_NEWS_SHORT;英国议会已经通过了一条法案，该法案将将明确同意把整个鲁珀特地区划入加拿大治域，鲁珀特地区包括全部北美洲殖民地领地。;;;;;;;;;;;;x,,,,,,,,
EVTDESC44322_NEWS_LONG;英国法案将明确同意：自哈德逊湾公司运营失败后，加拿大获得整个鲁珀特地区的购买权，该区域曾属于不列颠，囊括了安大略湖至哥伦比亚州的区域。加拿大人将自大西洋至太平洋的大陆一举合并的梦想一下子就实现了。$CAPITAL$的居民对这种背叛表示强烈愤慨。;;;;;;;;;;;;x,,,,,,,,
EVTDESC44322_NEWS_MEDIUM;英国法案将明确同意：自哈德逊湾公司运营失败后，加拿大获得整个鲁珀特地区的购买权，该区域曾属于不列颠，囊括了安大略湖至哥伦比亚州的区域。$CAPITAL$的居民对这种背叛表示强烈愤慨。;;;;;;;;;;;;x,,,,,,,,
EVTDESC44322_NEWS_SHORT;英国法案将明确同意：自哈德逊湾公司运营失败后，加拿大获得整个英属土地的购买权，该区域囊括了安大略湖至哥伦比亚州的区域。;;;;;;;;;;;;x,,,,,,,,
EVTNAME44355_NEWS_TITLE;加拿大国家铁路公司;;;;;;;;;;;;x,,,,,,,,
EVTDESC44355_NEWS_LONG;加拿大国家铁路建设的第一阶段圆满完成，贯穿温尼伯至大西洋海岸。现在，必须着手启动下一阶段，穿过北美大草原和险峻的落基山脉，当然，这必将更为艰难。按照大多数人的说法，这是加拿大万众一心的唯一途径：从此岸抵彼岸，吾将生死践诺。;;;;;;;;;;;;x",,,,
EVTDESC44355_NEWS_MEDIUM;加拿大国家铁路建设的第一阶段圆满完成，贯穿温尼伯至大西洋海岸。现在，必须着手启动下一阶段，穿过北美大草原和险峻的落基山脉，当然，这必将更为艰难。;;;;;;;;;;;;x,,,,,,
EVTDESC44355_NEWS_SHORT;加拿大国家铁路建设的第一阶段圆满完成，贯穿温尼伯至大西洋海岸。现在，必须着手启动下一阶段，这必将更为艰难。;;;;;;;;;;;;x,,,,,
EVTNAME44807_NEWS_TITLE;贝拉斯科条约;;;;;;;;;;;;x,,,,,,,,
EVTDESC44807_NEWS_LONG;在对墨西哥声望进行耻辱性的打击中，桑塔·安纳将军在德克萨斯被捕，他在试图从乡下返回墨西哥途中被发现。在狱中，为了能够被释放，安全返回墨西哥，桑塔·安纳接受了一系列条约，包括承认德克萨斯独立……如今，问题在于墨西哥是否遵守被迫签订的韦拉斯科条约。;;;;;;;;;;;;x,,,,
EVTDESC44807_NEWS_MEDIUM;在对墨西哥声望进行耻辱性的打击中，桑塔·安纳将军在德克萨斯被捕，他在试图从乡下返回墨西哥途中被发现。在狱中，为了能够被释放，安全返回墨西哥，桑塔·安纳接受了一系列条约。;;;;;;;;;;;;x,,,,,,
EVTDESC44807_NEWS_SHORT;在对墨西哥声望进行耻辱性的打击中，桑塔·安纳将军在德克萨斯被捕。在狱中，为了能够被释放，安全返回墨西哥，桑塔·安纳接受了一系列条约。;;;;;;;;;;;;x,,,,,,
EVTDESC44826_NEWS_LONG;在冗长的墨西哥城会议之后，墨西哥与美国就停战一事达成一致。瓜达卢佩-伊达尔戈条约明确约定，全部新墨西哥和加利福尼亚北部，全部延伸至太平洋海岸的地区划入美利坚合众国治下。对于墨西哥来说，这是耻辱性的失败，标志着美利坚合众国成为了一股不容小觑的世界强权。;;;;;;;;;;;x,,,,,
EVTDESC44826_NEWS_MEDIUM;墨西哥与美国就停战一事达成一致。瓜达卢佩-伊达尔戈条约明确约定，全部新墨西哥的部分领土划入美利坚合众国治下。对于墨西哥来说，这是耻辱性的失败。;;;;;;;;;;;;x,,,,,,,,
EVTDESC44826_NEWS_SHORT;墨西哥与美国就停战一事达成一致。瓜达卢佩-伊达尔戈条约明确约定，全部新墨西哥领土划入美利坚合众国治下。;;;;;;;;;;;;x,,,,,,,
EVTDESC44830_NEWS_MEDIUM;马克西米连大公在墨西哥的统治始终不得人心，如今，贝尼托·胡亚雷斯领导的反叛势力将其逮捕，宣告了其统治的结束。行刑队对其进行军法审判并实施死刑，新的共和国在其死后的第一天便建立了。;;;;;;;;;;;;x,,,,,,
EVTDESC44830_NEWS_SHORT;贝尼托·胡亚雷斯领导的反叛势力将马克西米连大公逮捕。行刑队对其进行军法审判并实施死刑，新的共和国在其死后的第一天便建立了。;;;;;;;;;;;;x,,,,,,,
EVTDESC44835_NEWS_MEDIUM;将军波菲里奥·迪亚斯被一些人誉为英雄，他在军事政变中推翻了墨西哥民主政府。与许多军事长官密谋计划并在瓦哈卡宣布后，波菲里奥·迪亚斯就任总统，是一个具有军事背景的独裁者。;;;;;;;;;;;;x,,,,,
EVTDESC44835_NEWS_SHORT;将军波菲里奥·迪亚斯被一些人誉为英雄，他在军事政变中推翻了墨西哥民主政府，并就任总统，是一个具有军事背景的独裁者。;;;;;;;;;;;;x,,,,,,
EVTNAME46610_NEWS_TITLE;阿根廷内战隐现;;;;;;;;;;;;x,,,,,,,,
EVTDESC46610_NEWS_LONG;阿根廷：恩特雷里奥斯的领导者胡斯托·何塞·德·乌尔基萨将军转而反对罗萨斯政府，并要求其顺应自由主义者的要求，制订一部新宪法。暗示着邻邦政府可能是乌尔基萨的支持者，一旦他发动起义，他们将干涉其个人利益。罗萨斯总统不得不做出抉择：面对Urquiza和其他反对势力的要求，是选择顺应还是予以武力镇压。;;;;;;;;;;;;x,,,,,
EVTDESC46610_NEWS_MEDIUM;阿根廷：恩特雷里奥斯的领导者胡斯托·何塞·德·乌尔基萨将军转而反对罗萨斯政府，并要求其顺应自由主义者的要求，制订一部新宪法。暗示着如果乌尔基萨发动起义，邻邦政府可能也会给予支持。;;;;;;;;;;;;x,,,,,,
EVTDESC46610_NEWS_SHORT;阿根廷：恩特雷里奥斯的领导者胡斯托·何塞·德·乌尔基萨将军转而反对罗萨斯政府，并要求其顺应自由主义者的要求，制订一部新宪法。;;;;;;;;;;;;x,,,,,,
EVTDESC46611_NEWS_MEDIUM;罗萨斯无法平息恩特雷里奥斯的反叛，他不得不逃离阿根廷，乌尔基萨将军成为政府的临时领导者。和圣达菲的自由主义者会面后，他们制订了一部美国式的宪法，成立了阿根廷共和国。;;;;;;;;;;;;x,,,,,,
EVTDESC46611_NEWS_SHORT;罗萨斯无法平息恩特雷里奥斯的反叛，他不得不逃离阿根廷。乌尔基萨将军和圣达菲的自由主义者会面后，制订了宪法，成立了阿根廷共和国。;;;;;;;;;;;;x,,,,,,
EVTNAME60000_NEWS_TITLE;共产党人在$COUNTRY$掌权;;;;;;;;;;;;x,,,,,,,,
EVTDESC60000_NEWS_LONG;来自$CAPITAL$政府机关的演说，$COUNTRY_ADJ$领导人今天宣布，将通过暂停共产党人投票权和约束改革进程的方式来缓解当前的危机。虽然政府大臣再三声明此举只是暂时性的方案，但对旁观者来说，这不过是$COUNTRY$实现无产阶级专政的第一步。许多人认识到这一点，是由于他们始终坚持着这样一个目标：支配$COUNTRY_ADJ$共产党：对现行体制进行温和演化并施行真正的共产主义原则。;;;;;;;;;;;;x,,,,,,
EVTDESC60000_NEWS_MEDIUM;来自$CAPITAL$政府机关的演说，$COUNTRY_ADJ$领导人今天宣布，将通过暂停投票权的方式来缓解当前的危机。虽然再三声明此举只是暂时性的方案，但这不过是$COUNTRY$实现无产阶级专政的第一步。;;;;;;;;;;;;x,,,,,,
EVTDESC60000_NEWS_SHORT;来自$CAPITAL$政府机关的演说，$COUNTRY_ADJ$领导人今天宣布，将通过暂停投票权的方式来缓解当前的危机，在$COUNTRY$实现无产阶级专政。;;;;;;;;;;;;x,,,,,,
EVTNAME60010_NEWS_TITLE;$COUNTRY$军事政变;;;;;;;;;;;;x,,,,,,,,
EVTDESC60010_NEWS_LONG;来自$CAPITAL$政府机关的演说，$COUNTRY_ADJ$领导人今天宣布，将通过暂停许多自由和投票权的方式来缓解当前的危机。许多人视此举为一次对民主政府的政治反叛，视$COUNTRY$反动派总统设置为拥有$COUNTRY_ADJ$军队撑腰的独裁者，他们是对的。他们的一切目的和意图就在于，$COUNTRY_ADJ$民主政治如今已经过时了。;;;;;;;;;;;;x,,,,,
EVTDESC60010_NEWS_MEDIUM;$CAPITAL$的政府机构称，$COUNTRY_ADJ$领导阶层宣布许多自由和投票权已经被暂停，以此来对抗近期的危机。很多把这看做$COUNTRY$的反对派领袖在$COUNTRY_ADJ$军队的支持下就职成为独裁者的标志，而这一切将正当化。;;;;;;;;;;;;x,,,,,,,
EVTDESC60010_NEWS_SHORT;$COUNTRY_ADJ$领导阶层宣布许多自由和投票权已经被暂停，以此来对抗近期的危机。很多把这看做$COUNTRY$的反对派领袖在$COUNTRY_ADJ$军队的支持下就职成为独裁者的标志，而这一切将正当化。;;;;;;;;;;;;x,,,,,,,,
EVTNAME60020_NEWS_TITLE;无政府主义者在$COUNTRY$掌权;;;;;;;;;;;;x,,,,,,,,
EVTDESC60020_NEWS_LONG;为了在民主主义，平民贵族主义和暴民统治的强烈冲击下保护自由的原则，一个由执政的激进党派的相关成员组成的委员会夺去了$COUNTRY$的权力并且将这个国家转变成了最低限度政府独裁国家。他们声称这只是暂时的，用于对抗近来的威胁，尽管很多人都对此表示怀疑，$COUNTRY$会不会被恢复为真正的民主国家，除非激进分子被推翻。;;;;;;;;;;;;x,,,
EVTDESC60020_NEWS_MEDIUM;为了在民主主义，平民贵族主义和暴民统治的强烈冲击下保护自由的原则，一个由执政的激进党派的相关成员组成的委员会夺去了$COUNTRY$的权力并且将这个国家转变成了最低限度政府独裁国家。;;;;;;;;;;;;x,,,,,,
EVTDESC60020_NEWS_SHORT;一个由执政的激进党派的相关成员组成的委员会夺去了$COUNTRY$的权力并且将这个国家转变成了最低限度政府独裁国家。他们声称这只是权宜之计，用于对抗近来的威胁。;;;;;;;;;;;;x,,,,,,
EVTNAME60030_NEWS_TITLE;法西斯主义者在$COUNTRY$掌权;;;;;;;;;;;;x,,,,,,,,
EVTDESC60030_NEWS_LONG;投票权收到了限制，政府已经完全控制了政党系统，一项旨在扩大国家特别权力的法案已经被$CAPITAL$的下议院成功通过。一切迹象都清楚明了：法西斯主义政党已经将$COUNTRY$从民主国家变成了法西斯主义独裁国家。报告称$COUNTRY_ADJ$政府正在镇压抗议活动，每一个主要城市的每一个街区都能看到黑杉军执行者。根据执政党看来，这一切都预示着$COUNTRY$将获得其天命;;;;;;;;;;;;x,,,
EVTDESC60030_NEWS_MEDIUM;投票权收到了限制，政府已经完全控制了政党系统，一项旨在扩大国家特别权力的法案已经被$CAPITAL$的下议院成功通过。一切迹象都清楚明了：法西斯主义政党已经将$COUNTRY$从民主国家变成了法西斯主义独裁国家。;;;;;;;;;;;;x,,,,,,
EVTDESC60030_NEWS_SHORT;一切迹象都清楚明了：法西斯主义政党已经将$COUNTRY$从民主国家变成了法西斯主义独裁国家。;;;;;;;;;;;;x,,,,,,,
EVTDESC60050_NEWS_LONG;$COUNTRY_ADJ$独裁统治已经不再如前。日渐增强的多元主义，与逐渐扩展的政治改革合并在一起，将独裁统治变得越发富有民主政治的色彩。尽管这未必意味着执政党放弃了他们对权力的支配，随着选举的来临这意味着在野党现在有某种机会能为他们赢得话语权了。$COUNTRY$变成了民主国家，民众聚集在$CAPITAL$庆祝他们的统治者和平移交权力的美好可能。;;;;;;;;;;;;x,,,,
EVTDESC60050_NEWS_MEDIUM;$COUNTRY_ADJ$独裁统治已经不再如前。尽管执政党还没有放弃权力，日渐增强的多元主义，与逐渐扩展的政治改革合并在一起，再加上即将来临的新选举，已经将独裁统治变得越发富有民主政治的色彩。;;;;;;;;;;;;x,,,,,
EVTDESC60050_NEWS_SHORT;尽管执政党还没有放弃权力，近年来的改革和即将来临的新选举，已经将独裁统治变得越发富有民主政治的色彩。;;;;;;;;;;;;x,,,,,,,
EVTNAME60060_NEWS_TITLE;$COUNTRY_ADJ$宪法;;;;;;;;;;;;x,,,,,,,,
EVTDESC60060_NEWS_LONG;过去数年颁布的政治改革已经让$COUNTRY_ADJ$君主政体下的独裁主义可以被合法的予以质疑了。$COUNTRY_ADJ$国王不能再随着他的异想天开支配这个国家了，取而代之的是他不得不接收宪法对其权力行使的制约和限制。有些声音声称君主政体有权推翻新选举产生的政府的决定，甚至完全拒绝接受选举结果，但事实上选举已经得到了所有人的认可，这是$COUNTRY$民主化的标志。;;;;;;;;;;;;x,,,,,
EVTDESC60060_NEWS_MEDIUM;过去数年颁布的改革已经让$COUNTRY_ADJ$君主政体不再掌握全权。国王不能再随着他的异想天开支配这个国家了，取而代之的是他不得不接收宪法对其权力行使的制约和限制。;;;;;;;;;;;;x,,,,,,,
